name,uid,formed_date,formed_date_source,formed_date_precision
"めろん畑a go go",44KB44KN44KT55WRYSBnbyBnbw,2015-01-01,ja_wikipedia_活動期間,year
"ピュアリーモンスター",44OU44Ol44Ki44Oq44O844Oi44Oz44K544K_44O8,2017-05-01,suggestion_medium,
"NaNoMoRaL",TmFOb01vUmFM,2018-01-01,jpop_fandom_years,year
"DREAMING MONSTER",RFJFQU1JTkcgTU9OU1RFUg,2015-07-22,,
"CUBΣLIC",Q1VCzqNMSUM,2019-11-01,,
"メイビーME",44Oh44Kk44OT44O8TUU,2018-07-07,,
"PinkySpice",UGlua3lTcGljZQ,2019-06-23,,
"metarium",bWV0YXJpdW0,2022-10-13,,
"Layn",TGF5bg,2019-01-01,,
"・・・・・・・・・",44O744O744O744O744O744O744O744O744O7,2016-01-01,ja_wikipedia_活動期間,year
"アリス十番",44Ki44Oq44K55Y2B55Wq,2007-01-01,,
"スチームガールズ",44K544OB44O844Og44Ks44O844Or44K6,2011-09-01,,
"NANONI",TkFOT05J,2021-01-27,,
"XOXO EXTREME",WE9YTyBFWFRSRU1F,2016-03-01,,
"KRD8",S1JEOA,2013-12-27,,
"iSPY",aVNQWQ,2021-08-01,,
"Dorothy Little Happy",RG9yb3RoeSBMaXR0bGUgSGFwcHk,2010-01-01,,
"PARADISES",UEFSQURJU0VT,2021-03-21,suggestion_medium,
"STARMARIE",U1RBUk1BUklF,2008-01-01,,
"イケてるハーツ",44Kk44Kx44Gm44KL44OP44O844OE,2014-01-01,ja_wikipedia_lead_結成,year
"8bitBRAIN",OGJpdEJSQUlO,2018-03-01,,
"yumegiwa last girl",eXVtZWdpd2EgbGFzdCBnaXJs,2020-10-01,,
"BABY-CRAYON〜1361〜",QkFCWS1DUkFZT07jgJwxMzYx44Cc,2021-07-01,,
"CHICKEN BLOW THE IDOL",Q0hJQ0tFTiBCTE9XIFRIRSBJRE9M,2017-01-01,,
"つぼみ大革命",44Gk44G844G_5aSn6Z2p5ZG9,2010-04-01,,
"963",OTYz,2013-07-01,,
"BANZAI JAPAN",QkFOWkFJIEpBUEFO,2014-05-05,,
"JYA☆PON 2.0",SllB4piGUE9OIDIuMA,2017-09-01,,
"READY TO KISS",UkVBRFkgVE8gS0lTUw,2013-01-01,jpop_fandom_years,year
"JUGS MAFIA",SlVHUyBNQUZJQQ,2023-02-08,,
"#PEXACOA",I1BFWEFDT0E,2020-04-01,,
"クロスノエシス",44Kv44Ot44K544OO44Ko44K344K5,2019-05-27,,
"MANACLE",TUFOQUNMRQ,2020-09-13,,
"2o Love to Sweet Bullet",Mm8gTG92ZSB0byBTd2VldCBCdWxsZXQ,2015-01-01,manual,
"Chu-Z",Q2h1LVo,2012-01-01,jpop_fandom_years,year
"校庭カメラガール",5qCh5bqt44Kr44Oh44Op44Ks44O844Or,2017-01-01,manual,
"MEWM",TUVXTQ,2020-04-01,,
"HAMIDASYSTEM",SEFNSURBU1lTVEVN,2016-11-03,,
"MAGICOUR",TUFHSUNPVVI,2020-01-01,,
"外神田いっちょめ",5aSW56We55Sw44GE44Gj44Gh44KH44KB,2016-03-02,suggestion_medium,
"et-アンド-",ZXQt44Ki44Oz44OJLQ,2021-04-21,,
"グーグールル",44Kw44O844Kw44O844Or44Or,2018-04-08,,
"NILKLY",TklMS0xZ,2019-05-25,,
"Five emotion",Rml2ZSBlbW90aW9u,2020-12-01,,
"EMOE",RU1PRQ,2018-08-18,,
"OLNew",T0xOZXc,2024-06-20,,
"ARCANA PROJECT",QVJDQU5BIFBST0pFQ1Q,2019-01-01,,
"Ma’Scar’Piece",TWHigJlTY2Fy4oCZUGllY2U,2024-08-01,,
"東京女子流",5p2x5Lqs5aWz5a2Q5rWB,2009-01-01,,
"BABYBEARD",QkFCWUJFQVJE,2020-01-01,jpop_fandom_years,year
"ばってん少女隊",44Gw44Gj44Gm44KT5bCR5aWz6ZqK,2015-06-21,,
"FES☆TIVE",RkVT4piGVElWRQ,2013-03-27,,
"TEAM SHACHI",VEVBTSBTSEFDSEk,2011-09-11,,
"KLP48",S0xQNDg,2024-01-01,ja_wikipedia_活動期間,year
"WHITE SCORPION",V0hJVEUgU0NPUlBJT04,2023-10-07,,
"タイトル未定",44K_44Kk44OI44Or5pyq5a6a,2020-04-16,,
"UtaGe!",VXRhR2Uh,2022-04-15,,
"ハルニシオン",44OP44Or44OL44K344Kq44Oz,2025-01-05,,
"NECRONOMIDOL",TkVDUk9OT01JRE9M,2014-02-01,,
"SUPER☆GiRLS",U1VQRVLimIZHaVJMUw,2010-06-21,,
"まねきケチャ",44G-44Gt44GN44Kx44OB44Oj,2015-01-01,jpop_fandom_years,year
"仮面ライダーGIRLS",5Luu6Z2i44Op44Kk44OA44O8R0lSTFM,2010-01-01,jpop_fandom_years,year
"fishbowl",ZmlzaGJvd2w,2021-01-01,,
"PIGGS",UElHR1M,2020-04-19,,
"chuLa",Y2h1TGE,2017-05-07,,
"Dancing Dolls",RGFuY2luZyBEb2xscw,2011-01-01,,
"なみだ色の消しごむ",44Gq44G_44Gg6Imy44Gu5raI44GX44GU44KA,2018-06-09,,
"ベロティカ",44OZ44Ot44OG44Kj44Kr,2023-10-01,,
"Maison book girl",TWFpc29uIGJvb2sgZ2lybA,2014-01-01,,
"バンドじゃないもん！MAXX NAKAYOSHI",44OQ44Oz44OJ44GY44KD44Gq44GE44KC44KT77yBTUFYWCBOQUtBWU9TSEk,2021-01-01,jpop_fandom_years,year
"MAZE",TUFaRQ,2022-01-01,,
"GILTY × GILTY",R0lMVFkgw5cgR0lMVFk,2022-05-20,,
"ASP",QVNQ,2021-01-01,,
"ukka",dWtrYQ,2015-05-01,,
"INUWASI",SU5VV0FTSQ,2025-08-27,,
"新章 大阪☆春夏秋冬",5paw56ugIOWkp-mYquKYhuaYpeWkj-eni-WGrA,2022-07-07,,
"ラフ×ラフ",44Op44OVw5fjg6njg5U,2022-12-08,,
"Not Secured,Loose Ends",Tm90IFNlY3VyZWQsTG9vc2UgRW5kcw,2015-11-01,,
"Negicco",TmVnaWNjbw,2003-07-01,,
"モノクローン",44Oi44OO44Kv44Ot44O844Oz,2020-04-11,,
"手羽先センセーション",5omL57695YWI44K744Oz44K744O844K344On44Oz,2017-06-24,,
"りんご娘",44KK44KT44GU5aiY,2000-01-01,jpop_fandom_years,year
"Peel the Apple",UGVlbCB0aGUgQXBwbGU,2020-07-16,,
"群青の世界",576k6Z2S44Gu5LiW55WM,2018-12-23,,
"Mirror,Mirror",TWlycm9yLE1pcnJvcg,2022-01-30,,
"AdamLilith",QWRhbUxpbGl0aA,2022-09-24,,
"REIRIE",UkVJUklF,2023-01-01,,
"pinponpanpon",cGlucG9ucGFucG9u,2023-01-01,jpop_fandom_years,year
"最終未来少女",5pyA57WC5pyq5p2l5bCR5aWz,2023-01-01,,
"JamsCollection",SmFtc0NvbGxlY3Rpb24,2021-01-20,,
"GANG PARADE",R0FORyBQQVJBREU,2014-09-01,,
"ExWHYZ",RXhXSFla,2022-06-01,,
"MAD JAMIE",TUFEIEpBTUlF,2021-04-29,,
"Appare!",QXBwYXJlIQ,2016-01-01,jpop_fandom_years,year
"TENRIN",VEVOUklO,2020-05-25,,
"CY8ER",Q1k4RVI,2015-01-01,jpop_fandom_years,year
"IRONBUNNY",SVJPTkJVTk5Z,2018-01-01,jpop_fandom_years,year
"ノースリーブス",44OO44O844K544Oq44O844OW44K5,2008-09-01,ja_wikipedia_活動期間,month
"Isiliel",SXNpbGllbA,,,
"NANIMONO",TkFOSU1PTk8,2022-05-13,,
"マーキュロ",44Oe44O844Kt44Ol44Ot,2022-06-24,,
"Onephony",T25lcGhvbnk,2022-11-13,,
"ドラマチックレコード",44OJ44Op44Oe44OB44OD44Kv44Os44Kz44O844OJ,2022-09-19,,
"マザリ",44Oe44K244Oq,2024-10-11,,
"NGT48",TkdUNDg,2016-01-01,jpop_fandom_years,year
"CYNHN",Q1lOSE4,2017-06-25,,
"NEO JAPONISM",TkVPIEpBUE9OSVNN,2017-01-01,jpop_fandom_years,year
"i-COL",aS1DT0w,2021-05-14,,
"Devil ANTHEM.",RGV2aWwgQU5USEVNLg,2014-12-12,,
"可憐なアイボリー",5Y-v5oaQ44Gq44Ki44Kk44Oc44Oq44O8,2021-09-05,,
"君に、胸キュン。",5ZCb44Gr44CB6IO444Kt44Ol44Oz44CC,2018-08-15,,
"ジエメイ",44K444Ko44Oh44Kk,2022-05-01,,
"Merry BAD TUNE.",TWVycnkgQkFEIFRVTkUu,2022-06-21,,
"豆柴の大群",6LGG5p-044Gu5aSn576k,2022-09-07,suggestion_medium,
"RAY",UkFZ,2019-04-15,,
"MADMED",TUFETUVE,2022-01-01,jpop_fandom_years,year
"ME:I",TUU6SQ,2024-01-01,ja_wikipedia_活動期間,year
"超ときめき♡宣伝部",6LaF44Go44GN44KB44GN4pmh5a6j5Lyd6YOo,2015-01-01,jpop_fandom_years,year
"ファントムシータ",44OV44Kh44Oz44OI44Og44K344O844K_,2024-06-26,,
"きゅるりんってしてみて",44GN44KF44KL44KK44KT44Gj44Gm44GX44Gm44G_44Gm,2021-01-23,,
"日向坂46",5pel5ZCR5Z2CNDY,2015-11-30,suggestion_medium,
"BiSH",QmlTSA,2015-01-14,suggestion_medium,
