name,uid,reputation,source,interpolated_raw,avg_stint_years,group_age_years,churn,past_stints,scandal_penalty,scandal_count
ヤなことそっとミュート,44Ok44Gq44GT44Go44Gd44Gj44Go44Of44Ol44O844OI,4,interpolated,3.759,4,0,1,6,0,0
ライスボール,44Op44Kk44K544Oc44O844Or,5,interpolated,5,6.79,9.84,0.4,2,0,0
ラナキュラ,44Op44OK44Kt44Ol44Op,4,interpolated,3.901,2.14,2.35,0.14,1,0,0
ラフ×ラフ,44Op44OVw5fjg6njg5U,4,interpolated,4.028,2.44,2.57,0.11,1,0,0
リリシック学園,44Oq44Oq44K344OD44Kv5a2m5ZyS,3,interpolated,3.059,0.16,5.21,1,1,0,0
リルネード,44Oq44Or44ON44O844OJ,3.5,interpolated,3.655,3.25,0,1,3,0,0
ルージュブック,44Or44O844K444Ol44OW44OD44Kv,4,interpolated,3.986,2.35,2.31,0.13,1,0,0
ルルネージュ,44Or44Or44ON44O844K444Ol,3.5,interpolated,3.43,1.98,6.67,0.69,11,0,0
ワッツ◎さーくる,44Ov44OD44OE4peO44GV44O844GP44KL,3.5,interpolated,3.517,2.46,0,0.63,12,0,0
ヲドルマヨナカ,44Oy44OJ44Or44Oe44Oo44OK44Kr,3.5,interpolated,3.3,1.33,3.51,0.66,23,0,0
Yumeiro H!L!T,4d9e63bf-672e-4b0a-86e6-40c8e5cc6689,5,interpolated,5,6.03,6.03,0,0,0,0
℃-ute,4oSDLXV0ZQ,5,interpolated,5,13.73,20.09,0.38,3,0,0
≒JOY,4omSSk9Z,4.5,override,4.526,3.15,3.27,0.08,1,0,0
≠ME,4omgTUU,5,override,4.759,6.41,5.92,0,0,0.241,1
点染テンセイ少女。,54K55p-T44OG44Oz44K744Kk5bCR5aWz44CC,3.5,interpolated,3.703,2.2,4.2,0.44,8,0,0
炭酸くろにくるっ,54Kt6YW444GP44KN44Gr44GP44KL44Gj,3.5,interpolated,3.253,1.6,4.21,1,4,0,0
煌めき☆アンフォレント,54WM44KB44GN4piG44Ki44Oz44OV44Kp44Os44Oz44OI,3.5,interpolated,3.327,1.62,9.68,0.74,23,0,0
瞬きもせず,556s44GN44KC44Gb44Ga,3.5,interpolated,3.391,1.88,0,0.64,14,0,0
真っ白なキャンバス,55yf44Gj55m944Gq44Kt44Oj44Oz44OQ44K5,4,interpolated,3.84,4.18,7.84,1,9,0,0
神使轟く、激情の如く。,56We5L2_6L2f44GP44CB5r-A5oOF44Gu5aaC44GP44CC,3.5,interpolated,3.749,3.54,7.76,1,13,0,0
神宿,56We5a6_,3.5,interpolated,3.678,3.01,10.77,1,2,0,0
私立恵比寿中学,56eB56uL5oG15q-U5a-_5Lit5a2m,4.5,interpolated,4.422,5.88,15.92,0.67,14,0,0
美味しい曖昧,576O5ZGz44GX44GE5puW5pin,4,interpolated,4.178,2.75,0,0.3,3,0,0
群青の世界,576k6Z2S44Gu5LiW55WM,3.5,interpolated,3.565,2.28,6.53,0.62,8,0,0
純情のアフィリア,57SU5oOF44Gu44Ki44OV44Kj44Oq44Ki,4,interpolated,3.787,4.19,0,0.81,34,0,0
終わらないで、夜,57WC44KP44KJ44Gq44GE44Gn44CB5aSc,4,interpolated,3.776,2.96,0,0.67,6,0,0
中2映画プロジェクトアイドル部,5LitMuaYoOeUu-ODl-ODreOCuOOCp-OCr-ODiOOCouOCpOODieODq-mDqA,3,interpolated,3.215,1.53,0,1,20,0,0
乃木坂46,5LmD5pyo5Z2CNDY,4.5,interpolated,4.443,5.66,0,0.61,61,0,0
仮面ライダーGIRLS,5Luu6Z2i44Op44Kk44OA44O8R0lSTFM,4.5,interpolated,4.59,7.14,0,0.67,6,0,0
可憐なアイボリー,5Y-v5oaQ44Gq44Ki44Kk44Oc44Oq44O8,4.5,interpolated,4.429,2.88,3.83,0.15,2,0,0
君と見るそら,5ZCb44Go6KaL44KL44Gd44KJ,3.5,interpolated,3.583,1.38,1.51,0.17,1,0,0
君に、胸キュン。,5ZCb44Gr44CB6IO444Kt44Ol44Oz44CC,3.5,interpolated,3.542,2.2,6.89,0.63,15,0,0
外神田いっちょめ,5aSW56We55Sw44GE44Gj44Gh44KH44KB,3.5,interpolated,3.642,3.16,0,0.8,74,0,0
夜光性アミューズ,5aSc5YWJ5oCn44Ki44Of44Ol44O844K6,3.5,interpolated,3.386,2.22,4.3,0.36,4,0.414,2
夢みるアドレセンス,5aSi44G_44KL44Ki44OJ44Os44K744Oz44K5,3.5,interpolated,3.255,1.82,0,0.86,37,0,0
太陽と踊れ月夜に唄え,5aSq6Zm944Go6LiK44KM5pyI5aSc44Gr5ZSE44GI,3.5,interpolated,3.596,1.72,1.94,0.36,4,0,0
悪魔のキッス,5oKq6a2U44Gu44Kt44OD44K5,4,interpolated,3.97,2.26,3.26,0,0,0,0
愛乙女☆DOLL,5oSb5LmZ5aWz4piGRE9MTA,3.5,interpolated,3.679,2.96,5.76,0.77,24,0,0
我儘ラキア,5oiR5YSY44Op44Kt44Ki,5,interpolated,5,5.6,9.51,0.33,2,0,0
手羽先センセーション,5omL57695YWI44K744Oz44K744O844K344On44Oz,3.5,interpolated,3.314,1.84,8.03,0.79,19,0,0
東京女子流,5p2x5Lqs5aWz5a2Q5rWB,5,interpolated,5,13.6,16.51,0.2,1,0,0
放課後プリンセス,5pS-6Kqy5b6M44OX44Oq44Oz44K744K5,3.5,interpolated,3.252,1.8,0,0.93,75,0,0
新章 大阪☆春夏秋冬,5paw56ugIOWkp-mYquKYhuaYpeWkj-eni-WGrA,4,interpolated,4.168,5.7,3,0.73,11,0,0
日向坂46,5pel5ZCR5Z2CNDY,4.5,interpolated,4.661,4.44,0,0.36,17,0,0
星歴13夜,5pif5q20MTPlpJw,3.5,interpolated,3.556,2.54,0,1,9,0,0
最終未来少女,5pyA57WC5pyq5p2l5bCR5aWz,3.5,interpolated,3.311,0.87,2.51,0.4,2,0,0
月刊PAM,5pyI5YiKUEFN,4,interpolated,4.203,2.51,0,0,0,0,0
校庭カメラガールドライ,5qCh5bqt44Kr44Oh44Op44Ks44O844Or44OJ44Op44Kk,3,interpolated,3.177,1.26,0,1,5,0,0
棘-おどろ-,5qOYLeOBiuOBqeOCjS0,3,interpolated,3.224,1.38,0,0.74,17,0,0
櫻坂46,5qu75Z2CNDY,5,interpolated,5,4.6,4.72,0.22,10,0,0
欅坂46,5qyF5Z2CNDY,4,interpolated,3.751,3.53,9.87,1,12,0,0
清竜人25,5riF56uc5Lq6MjU,3.5,interpolated,3.403,1.8,10.84,0.69,9,0,0
脳内パステル,6ISz5YaF44OR44K544OG44Or,3.5,interpolated,3.352,1.77,5.03,0.71,15,0,0
花いろは,6Iqx44GE44KN44Gv,3.5,interpolated,3.614,2.14,5.42,0.53,9,0,0
花魁道中,6Iqx6a2B6YGT5Lit,3.5,interpolated,3.651,1.55,1.6,0.17,1,0,0
虹のコンキスタドール,6Jm544Gu44Kz44Oz44Kt44K544K_44OJ44O844Or,4,interpolated,4.151,4.36,10.98,0.66,19,0,0
衛星とカラテア,6KGb5pif44Go44Kr44Op44OG44Ki,3.5,interpolated,3.705,2.21,4.04,0.44,4,0,0
豆柴の大群,6LGG5p-044Gu5aSn576k,3.5,interpolated,3.626,3.04,0,0.88,7,0,0
超ときめき♡宣伝部,6LaF44Go44GN44KB44GN4pmh5a6j5Lyd6YOo,5,interpolated,5,6.57,0,0.33,3,0,0
透色ドロップ,6YCP6Imy44OJ44Ot44OD44OX,3.5,interpolated,3.335,1.89,0,0.71,12,0,0
都内某所,6YO95YaF5p-Q5omA,3,interpolated,3.103,0.61,2.59,1,6,0,0
里咲りさ,6YeM5ZKy44KK44GV,3.5,interpolated,3.268,1.91,0,1,1,0,0
開歌-かいか-,6ZaL5q2MLeOBi-OBhOOBiy0,4,interpolated,4.017,3.05,0,0.5,5,0,0
限りなく白く,6ZmQ44KK44Gq44GP55m944GP,3.5,interpolated,3.696,1.64,2,0,0,0,0
電影と少年CQ,6Zu75b2x44Go5bCR5bm0Q1E,5,interpolated,5,8.76,0,0,0,0,0
雨模様のソラリス,6Zuo5qih5qeY44Gu44K944Op44Oq44K5,5,interpolated,4.861,4.15,0,0.2,1,0,0
風男塾,6aKo55S35aG-,4,interpolated,3.974,4.65,0,0.73,19,0,0
高嶺のなでしこ,6auY5ba644Gu44Gq44Gn44GX44GT,4,override,3.952,2.97,2.99,0,0,0.294,1
LADYBABY,72612662-7c13-4de8-b694-a800f9eb1dda,3.5,interpolated,3.389,1.91,10.51,0.73,8,0,0
Raiden,743724ff-5c2d-4e42-85ab-95e7e5c42954,4,interpolated,3.821,1.82,4.66,0.05,6,0,0
SUIGETSU,764d49a4-9186-44f0-9c88-ab913d7c95ca,4.5,interpolated,4.411,2.79,4.66,0.06,4,0,0
ヒロインズ研究生,9b937bbf-facf-437b-9815-94152bfe5805,3,interpolated,3.189,0.67,1.72,0.54,13,0,0
#ジューロック,I-OCuOODpeODvOODreODg-OCrw,3.5,interpolated,3.404,1.76,5.04,0.65,17,0,0
#ババババンビ,I-ODkOODkOODkOODkOODs-ODkw,4,interpolated,4.133,3.21,5.43,0.5,5,0,0
#Mooove!,I01vb292ZSE,3.5,interpolated,3.66,1.82,2.26,0.33,2,0,0
#PEXACOA,I1BFWEFDT0E,3.5,interpolated,3.309,1.38,5.26,0.68,15,0,0
#2i2,IzJpMg,5,interpolated,4.823,3.83,4.59,0.2,1,0,0
.BPM,LkJQTQ,4,interpolated,3.952,2.55,5.01,0.5,5,0,0
.LiNIXLiNE.,LkxpTklYTGlORS4,3.5,interpolated,3.537,1.72,0,0.4,2,0,0
1つ足りない賽は投げられた,MeOBpOi2s-OCiuOBquOBhOizveOBr-aKleOBkuOCieOCjOOBnw,3.5,interpolated,3.654,3.24,0,1,5,0,0
22/7,MjIvNw,5,interpolated,5,4.4,9.51,0,0,0,0
2o Love to Sweet Bullet,Mm8gTG92ZSB0byBTd2VldCBCdWxsZXQ,3.5,interpolated,3.612,2.95,0,1,20,0,0
3776,Mzc3Ng,3,interpolated,3.239,1.71,0,0.91,10,0,0
8bitBRAIN,OGJpdEJSQUlO,4,interpolated,3.917,3.62,7.35,0.7,7,0,0
963,OTYz,4.5,interpolated,4.276,4.15,12.01,0.57,4,0,0
9DayzGlitchClubTokyo,OURheXpHbGl0Y2hDbHViVG9reW8,4,interpolated,4.019,2.74,0,0.43,3,0,0
=LOVE,PUxPVkU,4.5,override,4.72,7.65,7.92,0.17,2,0.28,1
CAL&RES,Q0FMJlJFUw,3.5,interpolated,3.291,1.08,3.89,0.59,13,0,0
CANDY TUNE,Q0FORFkgVFVORQ,4.5,interpolated,4.25,2.51,2.42,0,0,0,0
CHICKEN BLOW THE IDOL,Q0hJQ0tFTiBCTE9XIFRIRSBJRE9M,4,interpolated,3.797,2.67,8.51,0.67,6,0,0
CROWN POP,Q1JPV04gUE9Q,3.5,interpolated,3.371,2.25,9.91,1,4,0,0
CSR,Q1NS,4.5,interpolated,4.405,3.01,0,0,0,0,0
CUBΣLIC,Q1VCzqNMSUM,3.5,interpolated,3.645,2.36,5.68,0.56,5,0,0
CUTIE STREET,Q1VUSUUgU1RSRUVU,3.5,interpolated,3.422,1.01,0.92,0,0,0,0
CY8ER,Q1k4RVI,3.5,interpolated,3.713,3.67,0,1,6,0,0
CYNHN,Q1lOSE4,5,interpolated,5,5.64,8.03,0.43,3,0,0
Candye♡Syrup,Q2FuZHll4pmhU3lydXA,3,interpolated,3.156,0.8,0,0.67,10,0,0
Chu-Z,Q2h1LVo,4.5,interpolated,4.286,5.58,0,0.67,8,0,0
Chalca,Q2hhbGNh,3.5,interpolated,3.336,0.84,0,0,0,0,0
Charm Poche,Q2hhcm0gUG9jaGU,3.5,interpolated,3.448,1.17,1.38,0.29,2,0,0
Checkmate,Q2hlY2ttYXRl,3,interpolated,3.142,1.01,0,1,5,0,0
Cherry Bullet,Q2hlcnJ5IEJ1bGxldA,4,interpolated,3.81,4.04,6.45,1,3,0,0
Choux Cream Rockets,Q2hvdXggQ3JlYW0gUm9ja2V0cw,4,interpolated,3.833,4.52,0,1,3,0,0
CiON,Q2lPTg,4,interpolated,3.955,3.48,8.76,0.67,10,0,0
@onefive,QG9uZWZpdmU,5,interpolated,5,5.76,5.71,0,0,0,0
AMEFURASSHI,QU1FRlVSQVNTSEk,5,interpolated,5,5.56,6.67,0.2,1,0,0
AOAO,QU9BTw,3.5,interpolated,3.349,0.82,1.02,0.11,1,0,0
AFTERS,QUZURVJT,3.5,interpolated,3.301,1.02,2.09,0.5,6,0,0
AIBECK,QUlCRUNL,4,interpolated,4.012,3.34,8.51,0.62,8,0,0
AKB48,QUtCNDg,4,interpolated,3.895,4.56,20.51,0.88,364,0,0
AQ,QVE,3.5,interpolated,3.351,0.84,0.73,0,0,0,0
AQA,QVFB,3.5,interpolated,3.298,0.9,1.53,0.42,5,0,0
ARCANA PROJECT,QVJDQU5BIFBST0pFQ1Q,4.5,interpolated,4.638,3.48,6.51,0.25,2,0,0
ASP,QVNQ,4.5,interpolated,4.535,3.11,4.51,0.11,1,0,0
AVACLUB,QVZBQ0xVQg,3.5,interpolated,3.408,0.62,22.51,0.2,1,0,0
AVAM,QVZBTQ,4.5,interpolated,4.278,2.51,3.76,0,0,0,0
AZATOY,QVpBVE9Z,3.5,interpolated,3.362,0.97,1.8,0.33,4,0,0
Ange☆Reve,QW5nZeKYhlJldmU,3.5,interpolated,3.649,2.73,11.27,0.78,18,0,0
AdamLilith,QWRhbUxpbGl0aA,4.5,interpolated,4.418,2.91,2.78,0,0,0,0
Aicong,QWljb25n,3.5,interpolated,3.563,1.04,22.51,0.22,2,0,0
Alcute！,QWxjdXRl77yB,3.5,interpolated,3.366,1.05,1.95,0.38,5,0,0
Appare!,QXBwYXJlIQ,5,interpolated,4.753,5.39,0,0.45,5,0,0
AsIs,QXNJcw,3.5,interpolated,3.595,1.42,1.27,0,0,0,0
Axelight,QXhlbGlnaHQ,4.5,interpolated,4.487,3.25,3.18,0.25,1,0,0
BABY-CRAYON〜1361〜,QkFCWS1DUkFZT07jgJwxMzYx44Cc,4.5,interpolated,4.268,3.22,4.01,0.4,2,0,0
BABYMETAL,QkFCWU1FVEFM,5,interpolated,5,9.9,15.51,0.25,1,0,0
BABYMONSTER,QkFCWU1PTlNURVI,4,interpolated,3.904,2.18,1.6,0,0,0,0
BABYBEARD,QkFCWUJFQVJE,4,interpolated,4.161,3.59,0,0.5,2,0,0
BAD IVY,QkFEIElWWQ,3.5,interpolated,3.664,1.26,12.51,0,0,0,0
BANZAI JAPAN,QkFOWkFJIEpBUEFO,3.5,interpolated,3.714,3.27,11.17,0.8,40,0,0
BELLRING少女ハート,QkVMTFJJTkflsJHlpbPjg4_jg7zjg4g,3.5,interpolated,3.307,2.19,0,0.84,16,0,0
BLACKNAZARENE,QkxBQ0tOQVpBUkVORQ,4,interpolated,3.862,4.35,7.51,1,9,0,0
BLUEGOATS,QkxVRUdPQVRT,3.5,interpolated,3.618,2.12,3.66,0.5,4,0,0
BPM15Q,QlBNMTVR/#google_vignette,3.5,interpolated,3.29,1.67,9.51,1,2,0,0
僕が見たかった青空,Qm9rdSBnYSBNaXRha2F0dGEgQW96b3Jh,4,interpolated,3.864,2.06,2.06,0,0,0,0
Beauty Box,QmVhdXR5IEJveA,3.5,interpolated,3.643,2.8,0,0.75,6,0,0
Beloved,QmVsb3ZlZA,3.5,interpolated,3.437,1.09,0,0,0,0,0
BiS,QmlT,3.5,interpolated,3.322,2.3,0,1,32,0,0
BiSH,QmlTSA,4,interpolated,4.061,6.15,0,1,8,0,0
Billlie,QmlsbGxpZQ,5,interpolated,4.772,3.75,3.65,0,0,0,0
Broken By The Scream,QnJva2VuIEJ5IFRoZSBTY3JlYW0,4.5,interpolated,4.433,4.2,8.51,0.5,4,0,0
