name,uid,reputation,source,interpolated_raw,avg_stint_years,group_age_years,churn,past_stints,scandal_penalty,scandal_count
FOKALITE,Rk9LQUxJVEU,4,interpolated,3.795,1.99,0,0,0,0,0
Melty BeaR,TWVsdHkgQmVhUg,3.5,interpolated,3.58,1.44,1.9,0.25,2,0,0
FRUITPOCHETTE,RlJVSVRQT0NIRVRURQ,5,interpolated,4.86,7.01,13.59,0.6,3,0,0
NUANCE,TlVBTkNF,4,interpolated,4.031,3.59,9.41,0.64,7,0,0
リルネード,44Oq44Or44ON44O844OJ,3.5,interpolated,3.655,3.25,0,1,3,0,0
アンスリューム,44Ki44Oz44K544Oq44Ol44O844Og,4,interpolated,4.053,2.82,7.36,0.5,7,0,0
MyDearDarlin',TXlEZWFyRGFybGluJw,3.5,interpolated,3.722,2.83,6.5,0.73,11,0,0
AIBECK,QUlCRUNL,3,interpolated,3.08,3.48,9.57,0.64,9,0.715,2
美味しい曖昧,576O5ZGz44GX44GE5puW5pin,4.5,interpolated,4.443,3.49,0,0.3,3,0,0
LINKL PLANET,TElOS0wgUExBTkVU,4,interpolated,4.117,2.66,4.35,0.38,5,0,0
MAGMAZ,TUFHTUFa,4,interpolated,3.94,2.39,4.14,0.29,2,0,0
AZATOY,QVpBVE9Z,3,interpolated,3.114,1.61,2.87,0.42,5,0.42,2
Finger Runs,RmluZ2VyIFJ1bnM,3.5,interpolated,3.594,2.63,3.66,1,5,0,0
花魁道中,6Iqx6a2B6YGT5Lit,4,interpolated,3.795,2.06,2.66,0.29,2,0,0
びっくえんじぇる,44Gz44Gj44GP44GI44KT44GY44GH44KL,4.5,interpolated,4.484,3.09,8.25,0.27,3,0,0
鳴ル神,6bO044Or56We,3.5,interpolated,3.694,1.74,0,0,0,0,0
ヤなことそっとミュート,44Ok44Gq44GT44Go44Gd44Gj44Go44Of44Ol44O844OI,4,interpolated,3.759,4,0,1,6,0,0
ニァピン,44OL44Kh44OU44Oz,3,interpolated,3.116,0.83,0,1,1,0,0
BLACKNAZARENE,QkxBQ0tOQVpBUkVORQ,4,interpolated,3.865,4.35,8.57,1,9,0,0
おやすみホログラム,44GK44KE44GZ44G_44Ob44Ot44Kw44Op44Og,3,interpolated,3.166,3.19,0,0.8,8,0.28,1
#2i2,IzJpMg,4,interpolated,3.823,4.17,5.65,1,5,0,0
STAiNY,U1RBaU5Z,2,interpolated,2.06,1.97,5.57,0.68,15,1.363,4
diig,ZGlpZw,3.5,interpolated,3.29,1.9,1.87,0,0,0.508,1
キングサリ,44Kt44Oz44Kw44K144Oq,3.5,interpolated,3.607,2.24,4.24,0.55,6,0,0
Axelight,QXhlbGlnaHQ,4.5,interpolated,4.48,2.99,4.24,0.17,1,0,0
あっとせぶんてぃーん,44GC44Gj44Go44Gb44G244KT44Gm44GD44O844KT,3,interpolated,2.989,1.92,0,1,42,0.28,1
#Mooove!,I01vb292ZSE,3.5,interpolated,3.306,1.92,3.32,0.22,2,0.508,1
太陽と踊れ月夜に唄え,5aSq6Zm944Go6LiK44KM5pyI5aSc44Gr5ZSE44GI,4,interpolated,3.835,2.4,3,0.36,4,0,0
さよならステイチューン,44GV44KI44Gq44KJ44K544OG44Kk44OB44Ol44O844Oz,4,interpolated,3.889,2.57,0,0.5,6,0,0
Alcute！,QWxjdXRl77yB,3,interpolated,2.937,1.4,3.01,1,13,0.28,1
hakanai,aGFrYW5haQ,4,interpolated,3.963,2.28,2.6,0.17,1,0,0
ラナキュラ,44Op44OK44Kt44Ol44Op,4,interpolated,3.855,2.23,3.42,0.3,3,0,0
スパンコールグッドタイムズ,44K544OR44Oz44Kz44O844Or44Kw44OD44OJ44K_44Kk44Og44K6,5,interpolated,4.75,3.48,48.57,0.2,1,0,0
Candye♡Syrup,Q2FuZHll4pmhU3lydXA,3,interpolated,3.157,0.92,0,0.72,13,0,0
PRSMIN,UFJTTUlO,4.5,interpolated,4.654,3.76,5.17,0.29,2,0,0
透色ドロップ,6YCP6Imy44OJ44Ot44OD44OX,3,interpolated,2.882,2.2,0,0.71,12,0.508,1
カラフルスクリーム,44Kr44Op44OV44Or44K544Kv44Oq44O844Og,3.5,interpolated,3.416,4.04,9.53,0.47,7,0.84,3
Finally,RmluYWxseQ,5,interpolated,5,5.32,5.26,0,0,0,0
パラディーク,44OR44Op44OH44Kj44O844Kv,3,interpolated,3.13,1.44,5.34,0.75,15,0.14,1
lonlium,bG9ubGl1bQ,4,interpolated,4.101,3.27,0,0,0,0.207,1
Hellzapoppin',SGVsbHphcG9wcGluJw,4,interpolated,4.015,2.75,5.9,0.5,5,0,0
selfish,c2VsZmlzaA,3.5,interpolated,3.621,1.82,0,0.33,3,0,0
1つ足りない賽は投げられた,MeOBpOi2s-OCiuOBquOBhOizveOBr-aKleOBkuOCieOCjOOBnw,3.5,interpolated,3.654,3.24,0,1,5,0,0
.LiNIXLiNE.,LkxpTklYTGlORS4,3.5,interpolated,3.736,2.36,0,0.4,2,0,0
ルージュブック,44Or44O844K444Ol44OW44OD44Kv,4,interpolated,3.883,3.04,3.37,0.63,5,0,0
Chalca,Q2hhbGNh,4,interpolated,3.761,1.9,0,0,0,0,0
パラレルサイダー,44OR44Op44Os44Or44K144Kk44OA44O8,3.5,interpolated,3.431,1.61,4.18,0.57,8,0,0
ぽけっとファントム,44G944GR44Gj44Go44OV44Kh44Oz44OI44Og,3.5,interpolated,3.285,3.3,2.09,0.64,9,0.414,2
kolme,a29sbWU,5,interpolated,5,11.49,0,0,0,0,0
MIGMA SHELTER,TUlHTUEgU0hFTFRFUg,3.5,interpolated,3.307,1.79,9.48,1,18,0,0
BELLRING少女ハート,QkVMTFJJTkflsJHlpbPjg4_jg7zjg4g,3.5,interpolated,3.32,2.28,0,0.8,16,0,0
Payrin's,UGF5cmluJ3M,3.5,interpolated,3.257,2.22,9.9,0.76,13,0.14,1
airattic,YWlyYXR0aWM,5,interpolated,4.975,4.21,4.49,0,0,0,0
シャニムニ＝パレード,44K344Oj44OL44Og44OL77yd44OR44Os44O844OJ,3,interpolated,3.167,2.46,67.46,0.65,11,0.414,2
9DayzGlitchClubTokyo,OURheXpHbGl0Y2hDbHViVG9reW8,4,interpolated,3.794,3.34,0,0.43,3,0.207,1
カイジューバイミー,44Kr44Kk44K444Ol44O844OQ44Kk44Of44O8,5,interpolated,5,5.65,5.58,0,0,0,0
ルルネージュ,44Or44Or44ON44O844K444Ol,3,interpolated,2.809,2.25,7.74,0.81,13,0.56,2
瞬きもせず,556s44GN44KC44Gb44Ga,3.5,interpolated,3.472,2.27,0,0.64,14,0,0
LIT MOON,TElUIE1PT04,4.5,interpolated,4.278,2.81,3.42,0.29,2,0,0
FR2PON!,RlIyUE9OIQ,3.5,interpolated,3.428,2.27,5.11,0.54,7,0.207,1
ponderosa may bloom,cG9uZGVyb3NhIG1heSBibG9vbQ,3.5,interpolated,3.367,1.25,2.39,0.5,4,0,0
SPRISE,U1BSSVNF,4,interpolated,3.846,2.79,7.16,0.64,9,0,0
脳内パステル,6ISz5YaF44OR44K544OG44Or,3,interpolated,2.854,2.08,6.09,0.71,15,0.56,2
W.ダブルヴィー,Vy7jg4Djg5bjg6vjg7TjgqPjg7w,3,interpolated,2.931,2.45,0,0.65,17,0.56,2
限りなく白く,6ZmQ44KK44Gq44GP55m944GP,4.5,interpolated,4.324,2.66,3.06,0.14,1,0,0
THE ENCORE,VEhFIEVOQ09SRQ,4.5,interpolated,4.458,2.97,3.41,0.13,1,0,0
クライセカイ,44Kv44Op44Kk44K744Kr44Kk,3.5,interpolated,3.421,1.28,1.99,0.42,5,0,0
こみっきゅおん！,44GT44G_44Gj44GN44KF44GK44KT77yB,4,interpolated,4.182,2.76,0,0.3,3,0,0
Task have Fun,VGFzayBoYXZlIEZ1bg,5,interpolated,5,10.49,0,0,0,0,0
tipToe.,dGlwVG9lLg,3.5,interpolated,3.616,2.57,9.73,1,16,0,0
アイドルカレッジ,44Ki44Kk44OJ44Or44Kr44Os44OD44K4,3.5,interpolated,3.601,2.86,0,0.82,87,0,0
#ジューロック,I-OCuOODpeODvOODreODg-OCrw,2.5,interpolated,2.67,1.77,6.1,0.8,24,0.621,3
さとりモンスター,44GV44Go44KK44Oi44Oz44K544K_44O8,3.5,interpolated,3.662,2.66,0,0.71,10,0,0
SOMOSOMO,U09NT1NPTU8,4.5,interpolated,4.532,3.55,7.07,0.33,5,0,0
.BPM,LkJQTQ,4,interpolated,4.108,3.09,6.07,0.5,5,0,0
天使にはなれない,5aSp5L2_44Gr44Gv44Gq44KM44Gq44GE,3,interpolated,3,0,0,0,0,0,0
ぜろから☆すた→と,44Gc44KN44GL44KJ4piG44GZ44Gf4oaS44Go,2.5,interpolated,2.693,1.95,4.9,0.63,12,0.767,3
TOKYOてふてふ,VE9LWU_jgabjgbXjgabjgbU,4,interpolated,3.973,3.91,5.57,0.43,3,0.28,1
Flower＊Hour,Rmxvd2Vy77yKSG91cg,3.5,interpolated,3.427,1.21,0,0.31,4,0,0
HiiT Factory,SGlpVCBGYWN0b3J5,3.5,interpolated,3.725,2.32,0,0.4,2,0,0
PASTEL RADIO,UEFTVEVMIFJBRElP,3.5,interpolated,3.726,1.7,2.34,0.14,1,0,0
my fav,bXkgZmF2,3.5,interpolated,3.668,1.96,0,0.33,3,0,0
里咲りさ,6YeM5ZKy44KK44GV,3.5,interpolated,3.268,1.91,0,1,1,0,0
HAPPY CREATORS,SEFQUFkgQ1JFQVRPUlM,3.5,interpolated,3.736,1.75,1.82,0.14,1,0,0
Beloved,QmVsb3ZlZA,3.5,interpolated,3.566,1.56,0,0.29,2,0,0
HONEY POPCORN,SE9ORVkgUE9QQ09STg,5,interpolated,5,6.6,8.35,0.17,1,0,0
THE HOOPERS,VEhFIEhPT1BFUlM,3.5,interpolated,3.712,3.25,12.57,1,11,0,0
3776,Mzc3Ng,3.5,interpolated,3.253,1.81,0,0.91,10,0,0
開歌-かいか-,6ZaL5q2MLeOBi-OBhOOBiy0,4,interpolated,4.159,3.58,0,0.5,5,0,0
雨模様のソラリス,6Zuo5qih5qeY44Gu44K944Op44Oq44K5,5,interpolated,5,5,0,0.2,1,0,0
電影と少年CQ,6Zu75b2x44Go5bCR5bm0Q1E,4.5,interpolated,4.495,9.25,0,1,2,0,0
EMPATHY,RU1QQVRIWQ,3.5,interpolated,3.546,2.21,4.61,0.6,9,0,0
かすみ草とステラ,44GL44GZ44G_6I2J44Go44K544OG44Op,4,interpolated,4.208,3.12,0,0.38,6,0,0
棘-おどろ-,5qOYLeOBiuOBqeOCjS0,3.5,interpolated,3.269,1.65,0,0.74,17,0,0
あたまのなかは8ビット⁉︎,44GC44Gf44G-44Gu44Gq44GL44GvOOODk-ODg-ODiOKBie-4jg,3,interpolated,3.189,1.2,0,0.75,18,0,0
われらがプワプワプーワプワ,44KP44KM44KJ44GM44OX44Ov44OX44Ov44OX44O844Ov44OX44Ov,3,interpolated,2.925,3.07,10.17,1,23,0.56,2
点染テンセイ少女。,54K55p-T44OG44Oz44K744Kk5bCR5aWz44CC,4,interpolated,3.922,2.7,5.26,0.56,10,0,0
AFTERS,QUZURVJT,3.5,interpolated,3.47,1.49,3.16,0.46,6,0,0
フューチャーサイダー,44OV44Ol44O844OB44Oj44O844K144Kk44OA44O8,4,interpolated,3.905,2.35,3.86,0.3,3,0,0
LiVS,TGlWUw,3.5,interpolated,3.645,2.26,2.99,0.5,4,0,0
SiLENT←NOiSE,U2lMRU5U4oaQTk9pU0U,2.5,interpolated,2.451,1.21,4.41,0.65,11,0.84,3
HelloYouth,SGVsbG9Zb3V0aA,4.5,interpolated,4.474,3.91,8,0.44,7,0,0
ほくりくアイドル部,44G744GP44KK44GP44Ki44Kk44OJ44Or6YOo,3.5,interpolated,3.502,3.48,10.12,0.69,36,0.21,1
君と見るそら,5ZCb44Go6KaL44KL44Gd44KJ,3.5,interpolated,3.714,1.7,2.57,0.22,2,0,0
ZUTTOMOTTO,WlVUVE9NT1RUTw,3,interpolated,3.016,1.09,3.48,0.45,10,0.347,2
スワンスワンズ,44K544Ov44Oz44K544Ov44Oz44K6,5,interpolated,5,4.57,0,0,0,0,0
AQA,QVFB,3.5,interpolated,3.365,1.32,2.59,0.54,7,0,0
ROOKEY♡ROOKEYS,Uk9PS0VZ4pmhUk9PS0VZUw,3.5,interpolated,3.272,1.16,0,0.3,3,0.14,1
STARRY×NIGHT↗︎,U1RBUlJZw5dOSUdIVOKGl--4jg,4,interpolated,3.792,1.87,2.23,0.17,1,0,0
カミサマパレード,44Kr44Of44K144Oe44OR44Os44O844OJ,3.5,interpolated,3.313,1.33,0,0.22,2,0.207,1
Aicong,QWljb25n,3.5,interpolated,3.741,1.77,23.57,0.33,3,0,0
中2映画プロジェクトアイドル部,5LitMuaYoOeUu-ODl-ODreOCuOOCp-OCr-ODiOOCouOCpOODieODq-mDqA,3,interpolated,3.215,1.53,0,1,20,0,0
GO TO THE BEDS,R08gVE8gVEhFIEJFRFM,5,interpolated,5,6.21,0,0,0,0,0
NightOwl,TmlnaHRPd2w,4,interpolated,3.902,4.67,6.93,1,5,0,0
XTEEN,WFRFRU4,3.5,interpolated,3.258,2.37,8.47,0.73,8,0.207,1
ナナランド,44OK44OK44Op44Oz44OJ,3.5,interpolated,3.725,3.35,8.06,1,15,0,0
O'CHAWANZ HIP-HOP COLLEGE,TydDSEFXQU5aIEhJUC1IT1AgQ09MTEVHRQ,3.5,interpolated,3.391,2.4,9.57,0.8,8,0,0
may in film,bWF5IGluIGZpbG0,3.5,interpolated,3.631,2.09,5.24,0.5,5,0,0
HIGH SPIRITS,SElHSCBTUElSSVRT,3,interpolated,2.897,2.66,9.7,0.77,24,0.554,3
Bunny La Crew,QnVubnkgTGEgQ3Jldw,3.5,interpolated,3.631,2.14,4.22,0.5,8,0,0
MAGICAL SPEC,TUFHSUNBTCBTUEVD,4,interpolated,4.133,2.61,5.57,0.38,6,0,0
Panic Monster !n Wonderland,UGFuaWMgTW9uc3RlciAhbiBXb25kZXJsYW5k,3.5,interpolated,3.399,2.03,3.74,0.41,7,0.28,1
花いろは,6Iqx44GE44KN44Gv,3.5,interpolated,3.556,2.32,6.49,0.63,12,0,0
ガラチア,44Ks44Op44OB44Ki,3,interpolated,2.964,1.08,2.82,1,10,0.207,1
トナリア,44OI44OK44Oq44Ki,3.5,interpolated,3.714,2.09,0,0.33,2,0,0
BAD IVY,QkFEIElWWQ,4,interpolated,4.089,2.32,13.57,0,0,0,0
FULIT BOX,RlVMSVQgQk9Y,3.5,interpolated,3.559,1.84,2.29,0.13,1,0.224,1
ai*ai,YWkqYWk,3.5,interpolated,3.592,2.2,4.51,0.56,5,0,0
AVACLUB,QVZBQ0xVQg,3.5,interpolated,3.748,1.47,23.57,0.2,1,0,0
Malcolm Mask McLaren,TWFsY29sbSBNYXNrIE1jTGFyZW4,3.5,interpolated,3.435,2.25,10.9,0.74,14,0,0
Ange☆Reve,QW5nZeKYhlJldmU,3.5,interpolated,3.687,2.77,12.33,0.76,19,0,0
神使轟く、激情の如く。,56We5L2_6L2f44GP44CB5r-A5oOF44Gu5aaC44GP44CC,4,interpolated,3.751,3.54,8.82,1,13,0,0
アップアップガールズ（仮）,44Ki44OD44OX44Ki44OD44OX44Ks44O844Or44K677yI5Luu77yJ,4,interpolated,4.12,5.4,0,0.72,13,0,0
じゅじゅ,44GY44KF44GY44KF,3,interpolated,3.199,3.63,0,0.67,6,0.508,1
ふわふわ,44G144KP44G144KP,4,interpolated,3.993,5.26,10.93,0.85,17,0,0
アップアップガールズ（２）,44Ki44OD44OX44Ki44OD44OX44Ks44O844Or44K677yI77yS77yJ,4.5,interpolated,4.544,4.72,0,0.46,6,0,0
ピューパ!!,44OU44Ol44O844ORISE,4.5,interpolated,4.302,3.53,0,0.4,4,0,0
KissBee,S2lzc0JlZQ,4,interpolated,3.83,3.49,12.57,0.74,20,0,0
都内某所,6YO95YaF5p-Q5omA,3,interpolated,3.111,0.61,3.66,1,6,0,0
SAY-LA,U0FZLUxB,3.5,interpolated,3.406,2.36,11.6,0.78,31,0,0
エラバレシ,44Ko44Op44OQ44Os44K3,4,interpolated,3.992,4.07,0,0.67,12,0,0
KiSS KiSS,S2lTUyBLaVNT,4.5,interpolated,4.499,3.08,3.41,0.17,1,0,0
にっぽんワチャチャ,44Gr44Gj44G944KT44Ov44OB44Oj44OB44Oj,3.5,interpolated,3.647,3.14,6.41,0.5,5,0.28,1
MiiS,TWlpUw,3.5,interpolated,3.254,1.54,5.51,0.81,13,0,0
グデイ,44Kw44OH44Kk,5,interpolated,5,6.49,6.49,0,0,0,0
I MY ME MINE,SSBNWSBNRSBNSU5F,3.5,interpolated,3.507,1.86,5.15,0.57,13,0,0
WT☆Egret,V1TimIZFZ3JldA,3.5,interpolated,3.611,2.52,0,0.74,17,0,0
NEOTOKYO-TRIBE,TkVPVE9LWU8tVFJJQkU,3.5,interpolated,3.447,1.55,0,0.45,10,0,0
ハニースパイスRe.,44OP44OL44O844K544OR44Kk44K5UmUu,3.5,interpolated,3.392,2.4,0,0.74,14,0,0
GANGDEMIC,R0FOR0RFTUlD,4.5,interpolated,4.564,3.65,5.19,0.32,6,0,0
ゑんら,44KR44KT44KJ,5,interpolated,5,8.48,8.48,0,0,0,0
RaRaJaM,UmFSYUphTQ,3.5,interpolated,3.728,1.74,1.68,0,0,0,0
Charm Poche,Q2hhcm0gUG9jaGU,3.5,interpolated,3.742,1.93,2.44,0.29,2,0,0
ヲドルマヨナカ,44Oy44OJ44Or44Oe44Oo44OK44Kr,3,interpolated,3.189,1.67,4.57,0.71,25,0.14,1
Beauty Box,QmVhdXR5IEJveA,3.5,interpolated,3.685,3.07,0,0.75,6,0,0
悪魔のキッス,5oKq6a2U44Gu44Kt44OD44K5,4.5,interpolated,4.616,3.32,4.32,0,0,0,0
放課後プリンセス,5pS-6Kqy5b6M44OX44Oq44Oz44K744K5,3.5,interpolated,3.262,1.87,0,0.94,76,0,0
マジカル・パンチライン,44Oe44K444Kr44Or44O744OR44Oz44OB44Op44Kk44Oz,4.5,interpolated,4.406,5.38,0,0.6,6,0,0
MELLOW MELLOW,TUVMTE9XIE1FTExPVw,4.5,interpolated,4.34,7.75,8.82,1,3,0,0
SAKA-SAMA,U0FLQS1TQU1B,3,interpolated,3.112,1.9,9.65,0.72,13,0.28,2
浪江女子発組合,5rWq5rGf5aWz5a2Q55m657WE5ZCI,3,interpolated,3,0,0,0,0,0,0
校庭カメラガールドライ,5qCh5bqt44Kr44Oh44Op44Ks44O844Or44OJ44Op44Kk,3,interpolated,3.177,1.26,0,1,5,0,0
星歴13夜,5pif5q20MTPlpJw,2,interpolated,2.236,2.54,0,1,9,1.12,4
ambitious,YW1iaXRpb3Vz,4.5,interpolated,4.352,2.78,5.34,0.25,5,0,0
fancylabo,ZmFuY3lsYWJv,5,interpolated,4.754,3.49,23.57,0,0,0,0
RIRYDAY,UklSWURBWQ,3,interpolated,3.152,0.99,2.07,1,6,0,0
UNBS,VU5CUw,4.5,interpolated,4.257,4.96,0,0.63,10,0,0
終わらないで、夜,57WC44KP44KJ44Gq44GE44Gn44CB5aSc,3.5,interpolated,3.629,3.06,0,1,9,0,0
ネコプラpixx.,44ON44Kz44OX44OpcGl4eC4,2,interpolated,1.804,2.14,9.59,0.76,25,1.589,4
ワッツ◎さーくる,44Ov44OD44OE4peO44GV44O844GP44KL,3,interpolated,2.862,2.54,0,0.59,13,0.718,2
OS☆U,T1PimIZV,3.5,interpolated,3.688,3.08,15.99,0.86,69,0,0
ふぇありーているず！,44G144GH44GC44KK44O844Gm44GE44KL44Ga77yB,3.5,interpolated,3.661,2.61,0,0.71,17,0,0
ideal peco,aWRlYWwgcGVjbw,4.5,interpolated,4.462,3.01,2.86,0.14,1,0,0
サクヤコノハナ,44K144Kv44Ok44Kz44OO44OP44OK,3,interpolated,2.838,2.39,9.38,0.79,22,0.56,2
POPPiNG EMO,UE9QUGlORyBFTU8,5,interpolated,4.925,4.76,0,0.29,2,0,0
SAI²Rium,U0FJwrJSaXVt,3,interpolated,3.022,1.51,4.02,0.62,13,0.347,2
なんキニ！,44Gq44KT44Kt44OL77yB,3.5,interpolated,3.332,1.74,8.89,0.76,25,0,0
SANDAL TELEPHONE,U0FOREFMIFRFTEVQSE9ORQ,3.5,interpolated,3.383,2.33,9.07,1,12,0,0
SAiNT SEX,U0FpTlQgU0VY,4.5,interpolated,4.719,4.98,0,0.42,5,0,0
愛乙女☆DOLL,5oSb5LmZ5aWz4piGRE9MTA,3.5,interpolated,3.722,3.2,6.82,0.77,24,0,0
めろん畑a go go,44KB44KN44KT55WRYSBnbyBnbw,4,interpolated,3.758,3.84,0,0.54,7,0.207,1
ピュアリーモンスター,44OU44Ol44Ki44Oq44O844Oi44Oz44K544K_44O8,4,interpolated,3.844,3.45,0,0.68,13,0,0
NaNoMoRaL,TmFOb01vUmFM,5,interpolated,5,8.41,0,0,0,0,0
DREAMING MONSTER,RFJFQU1JTkcgTU9OU1RFUg,3.5,interpolated,3.734,2.98,11.02,0.75,21,0,0
CUBΣLIC,Q1VCzqNMSUM,4,interpolated,3.973,2.84,6.74,0.56,5,0,0
メイビーME,44Oh44Kk44OT44O8TUU,3.5,interpolated,3.48,2.98,8.06,0.59,10,0.294,1
PinkySpice,UGlua3lTcGljZQ,4,interpolated,4.031,3.73,7.1,0.65,11,0,0
metarium,bWV0YXJpdW0,4,interpolated,4.163,2.63,3.79,0.33,3,0,0
Layn,TGF5bg,4,interpolated,3.923,2.68,7.57,0.57,8,0,0
・・・・・・・・・,44O744O744O744O744O744O744O744O744O7,3.5,interpolated,3.729,2.52,0,0.63,12,0,0
アリス十番,44Ki44Oq44K55Y2B55Wq,3.5,interpolated,3.665,2.92,19.57,0.91,31,0,0
スチームガールズ,44K544OB44O844Og44Ks44O844Or44K6,3.5,interpolated,3.633,2.69,14.9,0.89,32,0,0
NANONI,TkFOT05J,3.5,interpolated,3.294,2.3,5.5,0.67,14,0.207,1
XOXO EXTREME,WE9YTyBFWFRSRU1F,4,interpolated,3.975,3.17,10.41,0.62,8,0,0
KRD8,S1JEOA,3.5,interpolated,3.741,3.46,12.58,0.84,38,0,0
iSPY,aVNQWQ,3.5,interpolated,3.588,2.52,4.99,1,11,0,0
Dorothy Little Happy,RG9yb3RoeSBMaXR0bGUgSGFwcHk,4,interpolated,3.815,4,16.57,0.92,11,0,0
