group_uid,group_name,name_romanji,suggested_date,confidence,apply_yes_no,source,wiki_title,notes
44OU44Ol44Ki44Oq44O844Oi44Oz44K544K_44O8,"ピュアリーモンスター","",2017-05-01,medium,,"https://ja.wikipedia.org/wiki/%E3%83%94%E3%83%A5%E3%82%A2%E3%83%AA%E3%83%BC%E3%83%A2%E3%83%B3%E3%82%B9%E3%82%BF%E3%83%BC","ピュアリーモンスター","lead 結成 (day)"
44OV44Kj44Ot44K944OV44Kj44O844Gu44OA44Oz44K5,"フィロソフィーのダンス","",2016-11-23,medium,,"https://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A3%E3%83%AD%E3%82%BD%E3%83%95%E3%82%A3%E3%83%BC%E3%81%AE%E3%83%80%E3%83%B3%E3%82%B9","フィロソフィーのダンス","Start date template (day)"
44G144GH44GC44KK44O844Gm44GE44KL44Ga77yB,"ふぇありーているず！","",2018-04-10,medium,,"https://ja.wikipedia.org/wiki/%E3%81%B5%E3%81%87%E3%81%82%E3%82%8A%E3%83%BC%E3%81%A6%E3%81%84%E3%82%8B%E3%81%9A!","ふぇありーているず!","lead 結成 (day)"
44Oe44K444Kr44Or44O744OR44Oz44OB44Op44Kk44Oz,"マジカル・パンチライン","Majika",2015-11-01,medium,,"https://ja.wikipedia.org/wiki/%E3%83%9E%E3%82%B8%E3%82%AB%E3%83%AB%E3%83%BB%E3%83%91%E3%83%B3%E3%83%81%E3%83%A9%E3%82%A4%E3%83%B3","マジカル・パンチライン","lead 結成 (day)"
44Oq44Or44ON44O844OJ,"リルネード","",2022-09-18,medium,,"https://ja.wikipedia.org/wiki/%E3%83%AA%E3%83%AB%E3%83%8D%E3%83%BC%E3%83%89","リルネード","lead 結成 (day)"
6Zuo5qih5qeY44Gu44K944Op44Oq44K5,"雨模様のソラリス","",2021-01-13,medium,,"https://ja.wikipedia.org/wiki/%E9%9B%A8%E6%A8%A1%E6%A7%98%E3%81%AE%E3%82%BD%E3%83%A9%E3%83%AA%E3%82%B9","雨模様のソラリス","2021 project announcement"
5aSW56We55Sw44GE44Gj44Gh44KH44KB,"外神田いっちょめ","",2016-03-02,medium,,"https://ja.wikipedia.org/wiki/%E5%A4%96%E7%A5%9E%E7%94%B0%E3%81%84%E3%81%A3%E3%81%A1%E3%82%87%E3%82%81","外神田いっちょめ","lead 結成 (day)"
6LGG5p-044Gu5aSn576k,"豆柴の大群","MAMESHiBA_NO_TAiGUN",2022-09-07,medium,,"https://ja.wikipedia.org/wiki/%E8%B1%86%E6%9F%B4%E3%81%AE%E5%A4%A7%E7%BE%A4","豆柴の大群","2022 history 始動/発足"
5pel5ZCR5Z2CNDY,"日向坂46","Hinatazaka46",2015-11-30,medium,,"https://ja.wikipedia.org/wiki/%E6%97%A5%E5%90%91%E5%9D%8246","日向坂46","2015 history 始動/発足"
5LmD5pyo5Z2CNDY,"乃木坂46","Nogizaka46",2023-02-01,medium,,"https://ja.wikipedia.org/wiki/%E4%B9%83%E6%9C%A8%E5%9D%8246","乃木坂46","2023 project announcement"
6aKo55S35aG-,"風男塾","Fudanjuku",2007-09-24,medium,,"https://ja.wikipedia.org/wiki/%E9%A2%A8%E7%94%B7%E5%A1%BE","風男塾","2007 history 始動/発足"
44O744O744O744O744O744O744O744O744O7,"・・・・・・・・・","",2016-01-01,low,,"https://ja.wikipedia.org/wiki/%E3%83%BB%E3%83%BB%E3%83%BB%E3%83%BB%E3%83%BB%E3%83%BB%E3%83%BB%E3%83%BB%E3%83%BB","・・・・・・・・・","lead 結成 (year)"
Mm8gTG92ZSB0byBTd2VldCBCdWxsZXQ,"2o Love to Sweet Bullet","Ai_no_Hana_(2o_Love_to_Sweet_Bullet)",2014-05-01,low,,"https://ja.wikipedia.org/wiki/2o%20Love%20to%20Sweet%20Bullet","2o Love to Sweet Bullet","lead 結成 (month)"
OURheXpHbGl0Y2hDbHViVG9reW8,"9DayzGlitchClubTokyo","9DayzGlitchClubTokyo",2020-01-01,low,,"https://ja.wikipedia.org/wiki/9DayzGlitchClubTokyo","9DayzGlitchClubTokyo","lead 結成 (year)"
QXBwYXJlIQ,"Appare!","Appare!",2016-01-01,low,,"https://ja.wikipedia.org/wiki/Appare!","Appare!","lead 結成 (year)"
QmVhdXR5IEJveA,"Beauty Box","",2021-01-01,low,,"https://ja.wikipedia.org/wiki/Beauty%20Box","Beauty Box","lead 結成 (year)"
QkVMTFJJTkflsJHlpbPjg4_jg7zjg4g,"BELLRING少女ハート","",2012-01-01,low,,"https://ja.wikipedia.org/wiki/BELLRING%E5%B0%91%E5%A5%B3%E3%83%8F%E3%83%BC%E3%83%88","BELLRING少女ハート","lead 結成 (year)"
Q2h1LVo,"Chu-Z","Chu-Z",2012-01-01,low,,"https://ja.wikipedia.org/wiki/Chu-Z","Chu-Z","lead 結成 (year)"
Q1NS,"CSR","",2022-01-01,low,,"https://ja.wikipedia.org/wiki/CSR%20(%E9%9F%B3%E6%A5%BD%E3%82%B0%E3%83%AB%E3%83%BC%E3%83%97)","CSR (音楽グループ)","lead 結成 (year)"
Q1k4RVI,"CY8ER","CY8ER",2015-01-01,low,,"https://ja.wikipedia.org/wiki/CY8ER","CY8ER","lead 結成 (year)"
Rk9LQUxJVEU,"FOKALITE","FOKALITE",2024-01-01,low,,"https://ja.wikipedia.org/wiki/FOKALITE","FOKALITE","lead 結成 (year)"
R2lybHPCsg,"Girls²","Girls²",2019-01-01,low,,"https://ja.wikipedia.org/wiki/Girls%C2%B2","Girls²","lead 結成 (year)"
SElCQU5B,"HIBANA","HIBANA",2024-09-01,low,,"https://ja.wikipedia.org/wiki/HIBANA","HIBANA","lead 結成 (month)"
SGlpVCBGYWN0b3J5,"HiiT Factory","FACTORY",2023-01-01,low,,"https://duckduckgo.com/","HiiT FACTORY","web date near keyword (year)"
SVJPTkJVTk5Z,"IRONBUNNY","IRONBUNNY",2018-01-01,low,,"https://ja.wikipedia.org/wiki/IRONBUNNY","IRONBUNNY","lead 結成 (year)"
TUFETUVE,"MADMED","MADMED",2022-01-01,low,,"https://ja.wikipedia.org/wiki/MAD%20MEDiCiNE","MAD MEDiCiNE","lead 結成 (year)"
bXkgZmF2,"my fav","my fav",2023-01-01,low,,"https://ja.wikipedia.org/wiki/My%20fav","My fav","lead 結成 (year)"
TmFOb01vUmFM,"NaNoMoRaL","NaNoMoRaL",2014-07-01,low,,"https://ja.wikipedia.org/wiki/NaNoMoRaL","NaNoMoRaL","lead 結成 (month)"
TkVPIEpBUE9OSVNN,"NEO JAPONISM","NEO_JAPONISM",2017-01-01,low,,"https://ja.wikipedia.org/wiki/NEO%20JAPONISM","NEO JAPONISM","lead 結成 (year)"
TkdUNDg,"NGT48","NGT48",2018-04-01,low,,"https://ja.wikipedia.org/wiki/NGT48","NGT48","lead 結成 (month)"
UGFzc0NvZGU,"PassCode","PassCode",2013-01-01,low,,"https://ja.wikipedia.org/wiki/PassCode","PassCode","lead 結成 (year)"
UkVBRFkgVE8gS0lTUw,"READY TO KISS","READY_TO_KISS",2013-01-01,low,,"https://ja.wikipedia.org/wiki/READY%20TO%20KISS","READY TO KISS","lead 結成 (year)"
Um9vdCBtaW1p,"Root mimi","Root_mimi",2025-01-01,low,,"https://ja.wikipedia.org/wiki/Root%20mimi","Root mimi","lead 結成 (year)"
U0lUVUFTSU9O,"SITUASION","Situasion",2020-12-01,low,,"https://duckduckgo.com/","Situasion","web date near keyword (month)"
U29tZWRheSBTb21ld2hlcmU,"Someday Somewhere","Someday Somewhere",1997-01-01,low,,"https://ja.wikipedia.org/wiki/Someday%20Somewhere","Someday Somewhere","lead 結成 (year)"
VGFzayBoYXZlIEZ1bg,"Task have Fun","Gips_(Task_have_Fun)",2016-01-01,low,,"https://ja.wikipedia.org/wiki/Task%20have%20Fun","Task have Fun","lead 結成 (year)"
VU5CUw,"UNBS","UNBS",2014-01-01,low,,"https://ja.wikipedia.org/wiki/UNBS","UNBS","lead 結成 (year)"
V1TimIZFZ3JldA,"WT☆Egret","WT☆Egret",2016-01-01,low,,"https://ja.wikipedia.org/wiki/WT%E2%98%86Egret","WT☆Egret","lead 結成 (year)"
Wk9DWA,"ZOCX","ZOCX",2018-01-01,low,,"https://ja.wikipedia.org/wiki/ZOCX","ZOCX","Start date template (year)"
44GC44Gj44Go44Gb44G244KT44Gm44GD44O844KT,"あっとせぶんてぃーん","@17",2016-01-01,low,,"https://ja.wikipedia.org/wiki/%E3%81%82%E3%81%A3%E3%81%A8%E3%81%9B%E3%81%B6%E3%82%93%E3%81%A6%E3%81%83%E3%83%BC%E3%82%93","あっとせぶんてぃーん","lead 結成 (year)"
44Kk44Kx44Gm44KL44OP44O844OE,"イケてるハーツ","",2014-01-01,low,,"https://ja.wikipedia.org/wiki/%E3%82%A4%E3%82%B1%E3%81%A6%E3%82%8B%E3%83%8F%E3%83%BC%E3%83%84","イケてるハーツ","lead 結成 (year)"
44GK44KE44GZ44G_44Ob44Ot44Kw44Op44Og,"おやすみホログラム","Oyasumi",2014-05-01,low,,"https://ja.wikipedia.org/wiki/%E3%81%8A%E3%82%84%E3%81%99%E3%81%BF%E3%83%9B%E3%83%AD%E3%82%B0%E3%83%A9%E3%83%A0","おやすみホログラム","lead 結成 (month)"
44GV44Go44KK44Oi44Oz44K544K_44O8,"さとりモンスター","",2019-01-01,low,,"https://ja.wikipedia.org/wiki/%E3%81%95%E3%81%A8%E3%82%8A%E3%83%A2%E3%83%B3%E3%82%B9%E3%82%BF%E3%83%BC","さとりモンスター","lead 結成 (year)"
44GV44KI44Gq44KJ44K544OG44Kk44OB44Ol44O844Oz,"さよならステイチューン","",2020-11-01,low,,"https://ja.wikipedia.org/wiki/%E3%81%95%E3%82%88%E3%81%AA%E3%82%89%E3%82%B9%E3%83%86%E3%82%A4%E3%83%81%E3%83%A5%E3%83%BC%E3%83%B3","さよならステイチューン","lead 結成 (month)"
44GY44KF44GY44KF,"じゅじゅ","JUJU",2014-01-01,low,,"https://ja.wikipedia.org/wiki/%E3%81%98%E3%82%85%E3%81%98%E3%82%85","じゅじゅ","lead 結成 (year)"
44K544Ov44Oz44K544Ov44Oz44K6,"スワンスワンズ","",2022-01-01,low,,"https://ja.wikipedia.org/wiki/%E3%82%B9%E3%83%AF%E3%83%B3%E3%82%B9%E3%83%AF%E3%83%B3%E3%82%BA","スワンスワンズ","lead 結成 (year)"
44Gc44KT44G25ZCb44Gu44Gb44GE44Gg44CC,"ぜんぶ君のせいだ。","",2015-07-01,low,,"https://ja.wikipedia.org/wiki/%E3%81%9C%E3%82%93%E3%81%B6%E5%90%9B%E3%81%AE%E3%81%9B%E3%81%84%E3%81%A0%E3%80%82","ぜんぶ君のせいだ。","lead 結成 (month)"
44OI44OK44Oq44Ki,"トナリア","Tonariau_/_ONE'S_AGAIN",2023-01-01,low,,"https://ja.wikipedia.org/wiki/%E3%83%88%E3%83%8A%E3%83%AA%E3%82%A2","トナリア","lead 結成 (year)"
44OO44O844K544Oq44O844OW44K5,"ノースリーブス","",2008-01-01,low,,"https://ja.wikipedia.org/wiki/%E3%83%8E%E3%83%BC%E3%82%B9%E3%83%AA%E3%83%BC%E3%83%96%E3%82%B9","ノースリーブス","lead 結成 (year)"
44OP44OL44O844K544OR44Kk44K5UmUu,"ハニースパイスRe.","",2019-05-01,low,,"https://ja.wikipedia.org/wiki/%E3%83%8F%E3%83%8B%E3%83%BC%E3%82%B9%E3%83%91%E3%82%A4%E3%82%B9Re.","ハニースパイスRe.","lead 結成 (month)"
44OQ44Oz44OJ44GY44KD44Gq44GE44KC44KT77yBTUFYWCBOQUtBWU9TSEk,"バンドじゃないもん！MAXX NAKAYOSHI","",2011-01-01,low,,"https://ja.wikipedia.org/wiki/%E3%83%90%E3%83%B3%E3%83%89%E3%81%98%E3%82%83%E3%81%AA%E3%81%84%E3%82%82%E3%82%93!MAXX%20NAKAYOSHI","バンドじゃないもん!MAXX NAKAYOSHI","lead 結成 (year)"
44OU44Ol44O844ORISE,"ピューパ!!","",2017-01-01,low,,"https://ja.wikipedia.org/wiki/%E3%83%94%E3%83%A5%E3%83%BC%E3%83%91!!","ピューパ!!","lead 結成 (year)"
44G-44Gt44GN44Kx44OB44Oj,"まねきケチャ","",2015-01-01,low,,"https://ja.wikipedia.org/wiki/%E3%81%BE%E3%81%AD%E3%81%8D%E3%82%B1%E3%83%81%E3%83%A3","まねきケチャ","lead 結成 (year)"
44Of44O844Og44OI44O844Kt44On44O8,"ミームトーキョー","",2021-01-01,low,,"https://ja.wikipedia.org/wiki/%E3%83%9F%E3%83%BC%E3%83%A0%E3%83%88%E3%83%BC%E3%82%AD%E3%83%A7%E3%83%BC","ミームトーキョー","lead 結成 (year)"
44KB44KN44KT55WRYSBnbyBnbw,"めろん畑a go go","",2015-01-01,low,,"https://ja.wikipedia.org/wiki/%E3%82%81%E3%82%8D%E3%82%93%E7%95%91a%20go%20go","めろん畑a go go","lead 結成 (year)"
44Ok44Gq44GT44Go44Gd44Gj44Go44Of44Ol44O844OI,"ヤなことそっとミュート","",2020-03-01,low,,"https://duckduckgo.com/","ヤなことそっとミュート","web date near keyword (month) (2 snippets agree)"
44KK44KT44GU5aiY,"りんご娘","Ringo_Musume",2020-01-01,low,,"https://ja.wikipedia.org/wiki/%E3%82%8A%E3%82%93%E3%81%94%E5%A8%98","りんご娘","lead 結成 (year)"
6ZaL5q2MLeOBi-OBhOOBiy0,"開歌-かいか-","",2019-01-01,low,,"https://ja.wikipedia.org/wiki/%E9%96%8B%E6%AD%8C-%E3%81%8B%E3%81%84%E3%81%8B-","開歌-かいか-","lead 結成 (year)"
5pyI5YiKUEFN,"月刊PAM","",2023-01-01,low,,"https://ja.wikipedia.org/wiki/%E6%9C%88%E5%88%8APAM","月刊PAM","lead 結成 (year)"
5qCh5bqt44Kr44Oh44Op44Ks44O844Or44OJ44Op44Kk,"校庭カメラガールドライ","",2017-01-01,low,,"https://ja.wikipedia.org/wiki/%E6%A0%A1%E5%BA%AD%E3%82%AB%E3%83%A1%E3%83%A9%E3%82%AC%E3%83%BC%E3%83%AB%E3%83%89%E3%83%A9%E3%82%A4","校庭カメラガールドライ","lead 結成 (year)"
57SU5oOF44Gu44Ki44OV44Kj44Oq44Ki,"純情のアフィリア","",2008-01-01,low,,"https://ja.wikipedia.org/wiki/%E7%B4%94%E6%83%85%E3%81%AE%E3%82%A2%E3%83%95%E3%82%A3%E3%83%AA%E3%82%A2","純情のアフィリア","lead 結成 (year)"
56We5L2_6L2f44GP44CB5r-A5oOF44Gu5aaC44GP44CC,"神使轟く、激情の如く。","Shinshi Todoroku, Gekijou no Gotoku.",2017-09-01,low,,"https://ja.wikipedia.org/wiki/%E7%A5%9E%E4%BD%BF%E8%BD%9F%E3%81%8F%E3%80%81%E6%BF%80%E6%83%85%E3%81%AE%E5%A6%82%E3%81%8F%E3%80%82","神使轟く、激情の如く。","lead 結成 (month)"
5LitMuaYoOeUu-ODl-ODreOCuOOCp-OCr-ODiOOCouOCpOODieODq-mDqA,"中2映画プロジェクトアイドル部","",1924-01-01,low,,"https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%A4%E3%83%89%E3%83%AB","アイドル","lead 結成 (year)"
6LaF44Go44GN44KB44GN4pmh5a6j5Lyd6YOo,"超ときめき♡宣伝部","Cho_Tokimeki♡Sendenbu",2014-04-01,low,,"https://ja.wikipedia.org/wiki/%E8%B6%85%E3%81%A8%E3%81%8D%E3%82%81%E3%81%8D%E2%99%A1%E5%AE%A3%E4%BC%9D%E9%83%A8","超ときめき♡宣伝部","lead 結成 (month)"
6Zu75b2x44Go5bCR5bm0Q1E,"電影と少年CQ","Shounen",2016-01-01,low,,"https://ja.wikipedia.org/wiki/%E9%9B%BB%E5%BD%B1%E3%81%A8%E5%B0%91%E5%B9%B4CQ","電影と少年CQ","lead 結成 (year)"
6YCP6Imy44OJ44Ot44OD44OX,"透色ドロップ","",2020-04-01,low,,"https://duckduckgo.com/","透色ドロップ","web date near keyword (month)"
576O5ZGz44GX44GE5puW5pin,"美味しい曖昧","Aimai",2020-01-01,low,,"https://ja.wikipedia.org/wiki/%E7%BE%8E%E5%91%B3%E3%81%97%E3%81%84%E6%9B%96%E6%98%A7","美味しい曖昧","lead 結成 (year)"
5pS-6Kqy5b6M44OX44Oq44Oz44K744K5,"放課後プリンセス","",2011-08-01,low,,"https://ja.wikipedia.org/wiki/%E6%94%BE%E8%AA%B2%E5%BE%8C%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9","放課後プリンセス","lead 結成 (month)"
5aSi44G_44KL44Ki44OJ44Os44K744Oz44K5,"夢みるアドレセンス","",2012-01-01,low,,"https://ja.wikipedia.org/wiki/%E5%A4%A2%E3%81%BF%E3%82%8B%E3%82%A2%E3%83%89%E3%83%AC%E3%82%BB%E3%83%B3%E3%82%B9","夢みるアドレセンス","lead 結成 (year)"
6YeM5ZKy44KK44GV,"里咲りさ","RISA☆RISA",2012-11-01,low,,"https://ja.wikipedia.org/wiki/%E9%87%8C%E5%92%B2%E3%82%8A%E3%81%95","里咲りさ","lead 結成 (month)"
5qOYLeOBiuOBqeOCjS0,"棘-おどろ-","",2017-01-01,low,,"https://ja.wikipedia.org/wiki/%E6%A3%98-%E3%81%8A%E3%81%A9%E3%82%8D-","棘-おどろ-","lead 結成 (year)"
LkxpTklYTGlORS4,".LiNIXLiNE.","",,none,,"","","no wiki hit"
Mzc3Ng,"3776","3776",,none,,"https://ja.wikipedia.org/wiki/3776","3776","wiki page found, no 結成 date parsed"
QkFCWUJFQVJE,"BABYBEARD","BABYBEARD",,none,,"","","no wiki hit"
QmVsb3ZlZA,"Beloved","Beloved",,none,,"https://ja.wikipedia.org/wiki/HIDEKI%20CD%20BOX%20-%20Beloved%20120%20Songs%20-","HIDEKI CD BOX - Beloved 120 Songs -","wiki page found, no 結成 date parsed"
Q2FuZHll4pmhU3lydXA,"Candye♡Syrup","Candye♡Syrup",,none,,"","","no wiki hit"
Q2hlY2ttYXRl,"Checkmate","Checkmate!?",,none,,"https://ja.wikipedia.org/wiki/Checkmate!","Checkmate!","wiki page found, no 結成 date parsed"
Q2hvdXggQ3JlYW0gUm9ja2V0cw,"Choux Cream Rockets","Choux Cream Rockets",,none,,"","","no wiki hit"
Rmxvd2Vy77yKSG91cg,"Flower＊Hour","Flower",,none,,"","","no wiki hit"
R29vZCBUZWFycw,"Good Tears","Good Tears",,none,,"","","no wiki hit"
SXNpbGllbA,"Isiliel","",,none,,"","","no wiki hit"
S2lzc0JlZVdFU1Q,"KissBeeWEST","KissBeeWEST",,none,,"https://ja.wikipedia.org/wiki/KissBeeWEST","KissBeeWEST","wiki page found, no 結成 date parsed"
S0xQNDg,"KLP48","KLP48",,none,,"","","no wiki hit"
a29sbWU,"kolme","Kolme",,none,,"https://ja.wikipedia.org/wiki/Kolme","Kolme","wiki page found, no 結成 date parsed"
TGEgTHVjZQ,"La Luce","La Luce",,none,,"","","no wiki hit"
bG9s,"lol","Lol",,none,,"https://ja.wikipedia.org/wiki/LOL","LOL","wiki page found, no 結成 date parsed"
bG9ubGl1bQ,"lonlium","Lonlium",,none,,"","","no wiki hit"
TG92ZSBDb2NjaGk,"Love Cocchi","Love Cocchi",,none,,"","","no wiki hit"
TUU6SQ,"ME:I","Nishimoto Meisa",,none,,"","","no wiki hit"
TkVPVE9LWU8tVFJJQkU,"NEOTOKYO-TRIBE","NEOTOKYO-TRIBE",,none,,"","","no wiki hit"
cGlucG9ucGFucG9u,"pinponpanpon","Pinponpanpon",,none,,"","","no wiki hit"
UE9QUGlORyBFTU8,"POPPiNG EMO","POPPiNG_EMO",,none,,"","","no wiki hit"
Uk9PS0VZ4pmhUk9PS0VZUw,"ROOKEY♡ROOKEYS","ROOKEY♡ROOKEYS",,none,,"","","no wiki hit"
U0FpTlQgU0VY,"SAiNT SEX","SAiNT_SEX",,none,,"","","no wiki hit"
c2VsZmlzaA,"selfish","Selfish",,none,,"https://ja.wikipedia.org/wiki/Be%20Selfish","Be Selfish","wiki page found, no 結成 date parsed"
WUFNSU5BQkU,"YAMINABE","YAMINABE",,none,,"","","no wiki hit"
44GC44Gf44G-44Gu44Gq44GL44GvOOODk-ODg-ODiOKBie-4jg,"あたまのなかは8ビット⁉︎","",,none,,"","","no wiki hit"
44Ki44OD44OX44Ki44OD44OX44Ks44O844Or44K677yI77yS77yJ,"アップアップガールズ（２）","",,none,,"","","no wiki hit"
44GK44GT44GV44G-44G344KM44Cc44Go44CC,"おこさまぷれ〜と。","Zero_Project",,none,,"","","no wiki hit"
44Kr44Of44K144Oe44OR44Os44O844OJ,"カミサマパレード","",,none,,"","","no wiki hit"
44GT44G_44Gj44GN44KF44GK44KT77yB,"こみっきゅおん！","Komikkyon",,none,,"","","no wiki hit"
44OL44Kh44OU44Oz,"ニァピン","",,none,,"","","no wiki hit"
44Ov44OD44OE4peO44GV44O844GP44KL,"ワッツ◎さーくる","",,none,,"","","no wiki hit"
5Luu6Z2i44Op44Kk44OA44O8R0lSTFM,"仮面ライダーGIRLS","Kamen_Rider_Girls",,none,,"https://ja.wikipedia.org/wiki/%E4%BB%AE%E9%9D%A2%E3%83%A9%E3%82%A4%E3%83%80%E3%83%BCGIRLS","仮面ライダーGIRLS","wiki page found, no 結成 date parsed"
556s44GN44KC44Gb44Ga,"瞬きもせず","",,none,,"https://ja.wikipedia.org/wiki/%E7%9E%AC%E3%81%8D%E3%82%82%E3%81%9B%E3%81%9A","瞬きもせず","wiki page found, no 結成 date parsed"
5pif5q20MTPlpJw,"星歴13夜","",,none,,"https://ja.wikipedia.org/wiki/%E6%98%9F%E6%AD%B413%E5%A4%9C","星歴13夜","wiki page found, no 結成 date parsed"
