group_uid,group_name,name_romanji,formed_date_raw,gap_missing_or_invalid_formed_date,gap_empty_song_uids,gap_empty_discography,discography_row_count,disc_rows_empty_track_list,disc_rows_empty_track_song_uids,member_count_field,member_names_count,member_uids_nonempty_count,gap_roster_no_nonempty_uids,gap_roster_uids_short_of_names,wiki_url_missing_or_blank,agencies_missing_or_empty,all_disc_rows_missing_track_list,all_disc_rows_missing_track_song_uids,gap_flags_summary
44OR44Op44OH44Kj44O844Kv,パラディーク,Paradeeq,2021-03-27,0,0,0,12,1,12,7,7,7,0,0,0,0,0,1,disc_empty_track_list×1;disc_empty_track_song_uids×12
bG9ubGl1bQ,lonlium,Lonlium,,1,0,0,9,9,9,4,4,4,0,0,0,1,1,1,formed_date;disc_empty_track_list×9;disc_empty_track_song_uids×9;no_agencies
SGVsbHphcG9wcGluJw,Hellzapoppin',Hellzapoppin',2020-09-01,0,0,0,19,19,19,4,4,4,0,0,0,1,1,1,disc_empty_track_list×19;disc_empty_track_song_uids×19;no_agencies
c2VsZmlzaA,selfish,Selfish,,1,0,0,11,10,11,6,6,6,0,0,0,1,0,1,formed_date;disc_empty_track_list×10;disc_empty_track_song_uids×11;no_agencies
MeOBpOi2s-OCiuOBquOBhOizveOBr-aKleOBkuOCieOCjOOBnw,1つ足りない賽は投げられた,,,1,0,0,5,0,5,1,1,0,1,1,0,1,0,1,formed_date;disc_empty_track_song_uids×5;roster_no_uids;roster_uids_short;no_agencies
LkxpTklYTGlORS4,.LiNIXLiNE.,,,1,0,0,4,4,4,3,3,3,0,0,0,1,1,1,formed_date;disc_empty_track_list×4;disc_empty_track_song_uids×4;no_agencies
44Or44O844K444Ol44OW44OD44Kv,ルージュブック,,2023-03-15,0,0,0,5,5,5,8,8,7,0,1,0,1,1,1,disc_empty_track_list×5;disc_empty_track_song_uids×5;roster_uids_short;no_agencies
Q2hhbGNh,Chalca,Chalca,,1,0,0,3,3,3,7,7,7,0,0,0,1,1,1,formed_date;disc_empty_track_list×3;disc_empty_track_song_uids×3;no_agencies
44OR44Op44Os44Or44K144Kk44OA44O8,パラレルサイダー,,2022-05-22,0,0,0,2,2,2,8,8,7,0,1,0,1,1,1,disc_empty_track_list×2;disc_empty_track_song_uids×2;roster_uids_short;no_agencies
44G944GR44Gj44Go44OV44Kh44Oz44OI44Og,ぽけっとファントム,,2024-06-26,0,0,0,2,2,2,5,5,5,0,0,0,1,1,1,disc_empty_track_list×2;disc_empty_track_song_uids×2;no_agencies
a29sbWU,kolme,Kolme,,1,0,0,9,7,9,4,4,2,0,1,0,0,0,1,formed_date;disc_empty_track_list×7;disc_empty_track_song_uids×9;roster_uids_short
TUlHTUEgU0hFTFRFUg,MIGMA SHELTER,MIGMA_SHELTER,2017-02-01,0,0,0,16,1,16,8,8,8,0,0,0,0,0,1,disc_empty_track_list×1;disc_empty_track_song_uids×16
QkVMTFJJTkflsJHlpbPjg4_jg7zjg4g,BELLRING少女ハート,,,1,0,0,11,11,11,4,4,4,0,0,0,1,1,1,formed_date;disc_empty_track_list×11;disc_empty_track_song_uids×11;no_agencies
UGF5cmluJ3M,Payrin's,Payrin's,2016-09-01,0,0,0,19,15,19,5,5,5,0,0,0,0,0,1,disc_empty_track_list×15;disc_empty_track_song_uids×19
44K344Oj44OL44Og44OL77yd44OR44Os44O844OJ,シャニムニ＝パレード,,1959-02-11,0,0,0,144,13,144,8,8,6,0,1,0,1,0,1,disc_empty_track_list×13;disc_empty_track_song_uids×144;roster_uids_short;no_agencies
OURheXpHbGl0Y2hDbHViVG9reW8,9DayzGlitchClubTokyo,9DayzGlitchClubTokyo,,1,0,0,11,8,11,4,4,4,0,0,0,1,0,1,formed_date;disc_empty_track_list×8;disc_empty_track_song_uids×11;no_agencies
44Kr44Kk44K444Ol44O844OQ44Kk44Of44O8,カイジューバイミー,,2020-12-27,0,0,0,14,14,14,5,5,5,0,0,0,1,1,1,disc_empty_track_list×14;disc_empty_track_song_uids×14;no_agencies
44Or44Or44ON44O844K444Ol,ルルネージュ,,2018-11-01,0,0,0,32,31,32,5,5,4,0,1,0,1,0,1,disc_empty_track_list×31;disc_empty_track_song_uids×32;roster_uids_short;no_agencies
556s44GN44KC44Gb44Ga,瞬きもせず,,,1,0,0,20,20,20,8,8,8,0,0,0,1,1,1,formed_date;disc_empty_track_list×20;disc_empty_track_song_uids×20;no_agencies
TElUIE1PT04,LIT MOON,LIT_MOON,2023-02-26,0,0,0,19,2,19,5,5,5,0,0,0,0,0,1,disc_empty_track_list×2;disc_empty_track_song_uids×19
RlIyUE9OIQ,FR2PON!,FR2PON!,2021-06-18,0,0,0,16,16,16,6,6,6,0,0,0,1,1,1,disc_empty_track_list×16;disc_empty_track_song_uids×16;no_agencies
U1BSSVNF,SPRISE,SPRISE,2019-06-01,0,0,0,33,30,33,5,5,5,0,0,0,0,0,1,disc_empty_track_list×30;disc_empty_track_song_uids×33
6ISz5YaF44OR44K544OG44Or,脳内パステル,Nounai_Pastel,2020-06-23,0,0,0,1,1,1,8,8,8,0,0,0,1,1,1,disc_empty_track_list×1;disc_empty_track_song_uids×1;no_agencies
Vy7jg4Djg5bjg6vjg7TjgqPjg7w,W.ダブルヴィー,W,,1,0,0,8,8,8,2,2,1,0,1,0,1,1,1,formed_date;disc_empty_track_list×8;disc_empty_track_song_uids×8;roster_uids_short;no_agencies
6ZmQ44KK44Gq44GP55m944GP,限りなく白く,,2023-07-05,0,0,0,9,9,9,11,11,7,0,1,0,1,1,1,disc_empty_track_list×9;disc_empty_track_song_uids×9;roster_uids_short;no_agencies
VEhFIEVOQ09SRQ,THE ENCORE,THE_ENCORE,2023-03-01,0,0,0,17,17,17,7,7,7,0,0,0,0,1,1,disc_empty_track_list×17;disc_empty_track_song_uids×17
44Kv44Op44Kk44K744Kr44Kk,クライセカイ,Kurai_Sekai,2024-08-01,0,0,0,13,0,13,7,7,7,0,0,0,1,0,1,disc_empty_track_song_uids×13;no_agencies
44GT44G_44Gj44GN44KF44GK44KT77yB,こみっきゅおん！,Komikkyon,,1,0,0,3,3,3,1,1,1,0,0,0,0,1,1,formed_date;disc_empty_track_list×3;disc_empty_track_song_uids×3
VGFzayBoYXZlIEZ1bg,Task have Fun,Gips_(Task_have_Fun),,1,0,0,34,34,34,3,3,3,0,0,0,1,1,1,formed_date;disc_empty_track_list×34;disc_empty_track_song_uids×34;no_agencies
dGlwVG9lLg,tipToe.,TipToe.,2016-11-02,0,0,0,17,7,17,5,5,2,0,1,0,0,0,1,disc_empty_track_list×7;disc_empty_track_song_uids×17;roster_uids_short
44Ki44Kk44OJ44Or44Kr44Os44OD44K4,アイドルカレッジ,,,1,0,0,33,33,33,25,25,24,0,1,0,1,1,1,formed_date;disc_empty_track_list×33;disc_empty_track_song_uids×33;roster_uids_short;no_agencies
I-OCuOODpeODvOODreODg-OCrw,#ジューロック,,2020-06-21,0,0,0,18,18,18,6,6,6,0,0,0,1,1,1,disc_empty_track_list×18;disc_empty_track_song_uids×18;no_agencies
44GV44Go44KK44Oi44Oz44K544K_44O8,さとりモンスター,,,1,0,0,27,25,27,6,6,4,0,1,0,1,0,1,formed_date;disc_empty_track_list×25;disc_empty_track_song_uids×27;roster_uids_short;no_agencies
U09NT1NPTU8,SOMOSOMO,SOMOSOMO,2019-07-01,0,0,0,19,19,19,12,12,12,0,0,0,0,1,1,disc_empty_track_list×19;disc_empty_track_song_uids×19
LkJQTQ,.BPM,.BPM,2020-07-01,0,0,0,12,6,12,5,5,5,0,0,0,0,0,1,disc_empty_track_list×6;disc_empty_track_song_uids×12
5aSp5L2_44Gr44Gv44Gq44KM44Gq44GE,天使にはなれない,,,1,0,0,1,1,1,6,6,6,0,0,0,1,1,1,formed_date;disc_empty_track_list×1;disc_empty_track_song_uids×1;no_agencies
44Gc44KN44GL44KJ4piG44GZ44Gf4oaS44Go,ぜろから☆すた→と,,2021-09-01,0,0,0,21,20,21,8,8,8,0,0,0,1,0,1,disc_empty_track_list×20;disc_empty_track_song_uids×21;no_agencies
VE9LWU_jgabjgbXjgabjgbU,TOKYOてふてふ,TOKYO_Tefutefu,2020-12-31,0,0,0,14,2,14,4,4,4,0,0,0,0,0,1,disc_empty_track_list×2;disc_empty_track_song_uids×14
Rmxvd2Vy77yKSG91cg,Flower＊Hour,Flower,,1,0,0,5,5,5,14,14,9,0,1,0,0,1,1,formed_date;disc_empty_track_list×5;disc_empty_track_song_uids×5;roster_uids_short
SGlpVCBGYWN0b3J5,HiiT Factory,FACTORY,,1,0,0,6,6,6,6,6,6,0,0,0,1,1,1,formed_date;disc_empty_track_list×6;disc_empty_track_song_uids×6;no_agencies
UEFTVEVMIFJBRElP,PASTEL RADIO,PASTEL_RADIO,2024-03-27,0,0,0,13,3,13,6,6,6,0,0,0,0,0,1,disc_empty_track_list×3;disc_empty_track_song_uids×13
bXkgZmF2,my fav,my fav,,1,0,0,24,20,24,6,6,6,0,0,0,0,0,1,formed_date;disc_empty_track_list×20;disc_empty_track_song_uids×24
6YeM5ZKy44KK44GV,里咲りさ,RISA☆RISA,,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,formed_date;empty_song_uids;empty_discography;no_wiki_url;no_agencies
SEFQUFkgQ1JFQVRPUlM,HAPPY CREATORS,HAPPY_CREATORS,2024-10-01,0,0,0,18,18,18,7,7,7,0,0,0,1,1,1,disc_empty_track_list×18;disc_empty_track_song_uids×18;no_agencies
QmVsb3ZlZA,Beloved,Beloved,,1,0,0,20,20,20,5,5,5,0,0,0,1,1,1,formed_date;disc_empty_track_list×20;disc_empty_track_song_uids×20;no_agencies
SE9ORVkgUE9QQ09STg,HONEY POPCORN,Honey_Popcorn,2018-03-21,0,0,0,1,1,1,12,12,5,0,1,0,1,1,1,disc_empty_track_list×1;disc_empty_track_song_uids×1;roster_uids_short;no_agencies
VEhFIEhPT1BFUlM,THE HOOPERS,THE_HOOPERS,2014-01-01,0,0,0,11,11,11,6,6,3,0,1,0,1,1,1,disc_empty_track_list×11;disc_empty_track_song_uids×11;roster_uids_short;no_agencies
Mzc3Ng,3776,3776,,1,0,0,25,7,25,1,1,1,0,0,0,1,0,1,formed_date;disc_empty_track_list×7;disc_empty_track_song_uids×25;no_agencies
6ZaL5q2MLeOBi-OBhOOBiy0,開歌-かいか-,,,1,0,0,12,12,12,5,5,5,0,0,0,1,1,1,formed_date;disc_empty_track_list×12;disc_empty_track_song_uids×12;no_agencies
