source,group,date,type,site_category,gap,event,venue,venue_hint,has_poster,timetree_url,official_detail_url,note_preview
official,equal-love,2026-02-25,Meet,握手会,no_venue,＝LOVE 20thシングル発売記念スペシャルリリースイベント,,,,,https://equal-love.jp/schedule/detail/11112,
official,equal-love,2026-02-26,Meet,握手会,no_venue,＝LOVE 20thシングル発売記念スペシャルリリースイベント,,,,,https://equal-love.jp/schedule/detail/11130,
official,equal-love,2026-02-28,Meet,握手会,no_venue,＝LOVE 20thシングル発売記念 個別お話し会,,,,,https://equal-love.jp/schedule/detail/11119,
official,equal-love,2026-03-01,Meet,握手会,no_venue,＝LOVE 20thシングル発売記念 ツーショット撮影会,,,,,https://equal-love.jp/schedule/detail/11123,
official,equal-love,2026-03-04,Meet,握手会,no_venue,＝LOVE 20thシングル発売記念スペシャルリリースイベント,,,,,https://equal-love.jp/schedule/detail/11131,
official,equal-love,2026-03-07,Concert,ライブ/イベント,no_venue,「CDTVライブ！ライブ！春の大感謝祭2026」,,,,,https://equal-love.jp/schedule/detail/11021,
official,equal-love,2026-03-12,Concert,ライブ/イベント,no_venue,一般社団法人広島イベント事業振興協会主催『新アリーナ整備に向けた機運醸成プロジェクト第３弾「新アリーナが広島の未来を創造する ～ひろしまで楽しみ、働き、暮らす ～」』,,,,,https://equal-love.jp/schedule/detail/11213,
official,equal-love,2026-04-03,Festival,ライブ/イベント,no_venue,『CENTRAL MUSIC &amp; ENTERTAINMENT FESTIVAL 2026』,,,,,https://equal-love.jp/schedule/detail/11136,
official,equal-love,2026-04-04,Meet,握手会,no_venue,＝LOVE 20thシングル発売記念スペシャルリリースイベント,,,,,https://equal-love.jp/schedule/detail/11132,
official,equal-love,2026-04-12,Meet,握手会,no_venue,＝LOVE 20thシングル発売記念 スリーショット撮影会,,,,,https://equal-love.jp/schedule/detail/11225,
official,equal-love,2026-04-18,Concert,ライブ/イベント,no_venue,＝LOVE 8周年ツアー「＝LOVE 8th ANNIVERSARY PREMIUM TOUR」FINAL in 横浜スタジアム,,,,,https://equal-love.jp/schedule/detail/10932,
official,equal-love,2026-04-19,Concert,ライブ/イベント,no_venue,＝LOVE 8周年ツアー「＝LOVE 8th ANNIVERSARY PREMIUM TOUR」FINAL in 横浜スタジアム,,,,,https://equal-love.jp/schedule/detail/10933,
official,equal-love,2026-05-03,Meet,握手会,no_venue,＝LOVE 20thシングル発売記念 個別お話し会,,,,,https://equal-love.jp/schedule/detail/11120,
