group_uid,group_name,name_romanji
VGFzayBoYXZlIEZ1bg,"Task have Fun","Gips_(Task_have_Fun)"
44Ki44Kk44OJ44Or44Kr44Os44OD44K4,"アイドルカレッジ",""
44GV44Go44KK44Oi44Oz44K544K_44O8,"さとりモンスター",""
5aSp5L2_44Gr44Gv44Gq44KM44Gq44GE,"天使にはなれない",""
Rmxvd2Vy77yKSG91cg,"Flower＊Hour","Flower"
SGlpVCBGYWN0b3J5,"HiiT Factory","FACTORY"
bXkgZmF2,"my fav","my fav"
6YeM5ZKy44KK44GV,"里咲りさ","RISA☆RISA"
QmVsb3ZlZA,"Beloved","Beloved"
Mzc3Ng,"3776","3776"
6ZaL5q2MLeOBi-OBhOOBiy0,"開歌-かいか-",""
6Zuo5qih5qeY44Gu44K944Op44Oq44K5,"雨模様のソラリス",""
6Zu75b2x44Go5bCR5bm0Q1E,"電影と少年CQ","Shounen"
44GL44GZ44G_6I2J44Go44K544OG44Op,"かすみ草とステラ",""
5qOYLeOBiuOBqeOCjS0,"棘-おどろ-",""
44GC44Gf44G-44Gu44Gq44GL44GvOOODk-ODg-ODiOKBie-4jg,"あたまのなかは8ビット⁉︎",""
44K544Ov44Oz44K544Ov44Oz44K6,"スワンスワンズ",""
Uk9PS0VZ4pmhUk9PS0VZUw,"ROOKEY♡ROOKEYS","ROOKEY♡ROOKEYS"
44Kr44Of44K144Oe44OR44Os44O844OJ,"カミサマパレード",""
5LitMuaYoOeUu-ODl-ODreOCuOOCp-OCr-ODiOOCouOCpOODieODq-mDqA,"中2映画プロジェクトアイドル部",""
R08gVE8gVEhFIEJFRFM,"GO TO THE BEDS","GO_TO_THE_BEDS"
44OI44OK44Oq44Ki,"トナリア","Tonariau_/_ONE'S_AGAIN"
56We5L2_6L2f44GP44CB5r-A5oOF44Gu5aaC44GP44CC,"神使轟く、激情の如く。","Shinshi Todoroku, Gekijou no Gotoku."
44Ki44OD44OX44Ki44OD44OX44Ks44O844Or44K677yI5Luu77yJ,"アップアップガールズ（仮）",""
44GY44KF44GY44KF,"じゅじゅ","JUJU"
44Ki44OD44OX44Ki44OD44OX44Ks44O844Or44K677yI77yS77yJ,"アップアップガールズ（２）",""
44OU44Ol44O844ORISE,"ピューパ!!",""
44Ko44Op44OQ44Os44K3,"エラバレシ","Erabareshi"
V1TimIZFZ3JldA,"WT☆Egret","WT☆Egret"
TkVPVE9LWU8tVFJJQkU,"NEOTOKYO-TRIBE","NEOTOKYO-TRIBE"
44OP44OL44O844K544OR44Kk44K5UmUu,"ハニースパイスRe.",""
QmVhdXR5IEJveA,"Beauty Box",""
5pS-6Kqy5b6M44OX44Oq44Oz44K744K5,"放課後プリンセス",""
44Oe44K444Kr44Or44O744OR44Oz44OB44Op44Kk44Oz,"マジカル・パンチライン","Majika"
5rWq5rGf5aWz5a2Q55m657WE5ZCI,"浪江女子発組合",""
5qCh5bqt44Kr44Oh44Op44Ks44O844Or44OJ44Op44Kk,"校庭カメラガールドライ",""
5pif5q20MTPlpJw,"星歴13夜",""
VU5CUw,"UNBS","UNBS"
57WC44KP44KJ44Gq44GE44Gn44CB5aSc,"終わらないで、夜",""
44Ov44OD44OE4peO44GV44O844GP44KL,"ワッツ◎さーくる",""
44G144GH44GC44KK44O844Gm44GE44KL44Ga77yB,"ふぇありーているず！",""
UE9QUGlORyBFTU8,"POPPiNG EMO","POPPiNG_EMO"
U0FpTlQgU0VY,"SAiNT SEX","SAiNT_SEX"
44KB44KN44KT55WRYSBnbyBnbw,"めろん畑a go go",""
44OU44Ol44Ki44Oq44O844Oi44Oz44K544K_44O8,"ピュアリーモンスター",""
TmFOb01vUmFM,"NaNoMoRaL","NaNoMoRaL"
44O744O744O744O744O744O744O744O744O7,"・・・・・・・・・",""
UEFSQURJU0VT,"PARADISES","PARADISES"
44Kk44Kx44Gm44KL44OP44O844OE,"イケてるハーツ",""
UkVBRFkgVE8gS0lTUw,"READY TO KISS","READY_TO_KISS"
Mm8gTG92ZSB0byBTd2VldCBCdWxsZXQ,"2o Love to Sweet Bullet","Ai_no_Hana_(2o_Love_to_Sweet_Bullet)"
Q2h1LVo,"Chu-Z","Chu-Z"
5qCh5bqt44Kr44Oh44Op44Ks44O844Or,"校庭カメラガール",""
5aSW56We55Sw44GE44Gj44Gh44KH44KB,"外神田いっちょめ",""
QkFCWUJFQVJE,"BABYBEARD","BABYBEARD"
S0xQNDg,"KLP48","KLP48"
44G-44Gt44GN44Kx44OB44Oj,"まねきケチャ",""
5Luu6Z2i44Op44Kk44OA44O8R0lSTFM,"仮面ライダーGIRLS","Kamen_Rider_Girls"
44OQ44Oz44OJ44GY44KD44Gq44GE44KC44KT77yBTUFYWCBOQUtBWU9TSEk,"バンドじゃないもん！MAXX NAKAYOSHI",""
44KK44KT44GU5aiY,"りんご娘","Ringo_Musume"
cGlucG9ucGFucG9u,"pinponpanpon","Pinponpanpon"
QXBwYXJlIQ,"Appare!","Appare!"
Q1k4RVI,"CY8ER","CY8ER"
SVJPTkJVTk5Z,"IRONBUNNY","IRONBUNNY"
44OO44O844K544Oq44O844OW44K5,"ノースリーブス",""
SXNpbGllbA,"Isiliel",""
TkdUNDg,"NGT48","NGT48"
TkVPIEpBUE9OSVNN,"NEO JAPONISM","NEO_JAPONISM"
6LGG5p-044Gu5aSn576k,"豆柴の大群","MAMESHiBA_NO_TAiGUN"
TUFETUVE,"MADMED","MADMED"
TUU6SQ,"ME:I","Nishimoto Meisa"
6LaF44Go44GN44KB44GN4pmh5a6j5Lyd6YOo,"超ときめき♡宣伝部","Cho_Tokimeki♡Sendenbu"
5pel5ZCR5Z2CNDY,"日向坂46","Hinatazaka46"
QmlTSA,"BiSH","BiSH"
QnVvbm8h,"Buono!","Buono!"
UGFzc0NvZGU,"PassCode","PassCode"
Wk9DWA,"ZOCX","ZOCX"
R2lybHPCsg,"Girls²","Girls²"
U0tFNDg,"SKE48","SKE48"
44OV44Kj44Ot44K944OV44Kj44O844Gu44OA44Oz44K5,"フィロソフィーのダンス",""
Q1NS,"CSR",""
bG9s,"lol","Lol"
U1RVNDg,"STU48","STU48"
44Gc44KT44G25ZCb44Gu44Gb44GE44Gg44CC,"ぜんぶ君のせいだ。",""
5LmD5pyo5Z2CNDY,"乃木坂46","Nogizaka46"
Q2hlY2ttYXRl,"Checkmate","Checkmate!?"
WUFNSU5BQkU,"YAMINABE","YAMINABE"
TG92ZSBDb2NjaGk,"Love Cocchi","Love Cocchi"
7e2b7bae-0b97-4c6c-8268-4923aa92c622,"Link STAR's","Link_STAR's"
44Ki44Oz44K444Ol44Or44Og,"アンジュルム","ANGERME"
44Gk44Gw44GN44OV44Kh44Kv44OI44Oq44O8,"つばきファクトリー","Tsubaki Factory"
TU9SRSBTVEFS,"MORE STAR","MORE_STAR"
5bm95LiW6ISF5ZqH,"幽世脅嚇",""
QeW_nFA,"A応P",""
44Ki44Kk44OJ44Oq44Oz44KwISEh,"アイドリング!!!",""
RFJBV-KZoU1F,"DRAW♡ME",""
44Ot44O844K444O844Kv44Ot44OL44Kv44Or,"ロージークロニクル","Rosy Chronicle"
55yJ5p2R44Gh44GC44GN,"眉村ちあき","Mayumura_Chiaki"
44Op44K544OI44Ki44Kk44OJ44OrMuacn-eUnw,"ラストアイドル2期生",""
c29yYSB0b2Igc2FrYW5h,"sora tob sakana","Sora_tob_sakana"
44GV44GP44KJ5a2m6Zmi,"さくら学院","Sakura_Gakuin"
5rih44KK5buK5LiL6LWw44KK6ZqKNw,"渡り廊下走り隊7",""
UHJpem1teeKYhg,"Prizmmy☆",""
44OV44Kn44Ki44Oq44O844K6,"フェアリーズ",""
MjbmmYLjga7jg57jgrnjgqvjg6zjgqTjg4k,"26時のマスカレイド",""
R1BQ,"GPP",""
T05FUElYQ0VM,"ONEPIXCEL","OnePixcel"
6ISH55Sw44KC44Gq44KK,"脇田もなり","Wakita_Monari"
TWlsa3lXYXk,"MilkyWay","Milkyway"
MzY1wrA,"365°","365"
Q2h1bmluZyBDYW5keQ,"Chuning Candy","Chuning_Candy"
R2VuMWVz,"Gen1es",""
44OV44Os44Oz44OB44O744Kt44K5,"フレンチ・キス",""
YW1pbmk,"amini","Amini"
44K744Kv44OI,"セクト",""
44OP44OD44OU44O844GP44KL44GP44KL,"ハッピーくるくる",""
5oKy5pKD44Gu44OS44Ot44Kk44Oz55eH5YCZ576k,"悲撃のヒロイン症候群",""
44K244O744Kz44Kk44Oz44Ot44OD44Kr44O844K6,"ザ・コインロッカーズ",""
44KK44Oz44Gt,"りンね","Rinne"
44Ku44Of44OD44Kv,"ギミック",""
QnVzdGVycw,"Busters",""
44Of44K944Op44OJ44Ko44K444K944Oz,"ミソラドエジソン",""
U09M,"SOL",""
44Gt44GK44Gh,"ねおち","Neochi"
56We5qeY44Gu6KiA44GG6YCa44KK,"神様の言う通り",""
57W25pyb44Kt44ON44Oe,"絶望キネマ","Zetsubou_Kinema"
TFVOQVJTT0xBUg,"LUNARSOLAR",""
44OX44Op44Oz44Kv44K544K_44O844K6,"プランクスターズ",""
5Y-v5oaQR2lybCdz,"可憐Girl's","Karen_Girl's"
U1BBQ0UgR0lSTFMgUExBTkVU,"SPACE GIRLS PLANET","SPACE_GIRLS_PLANET"
Um9vdCBtaW1p,"Root mimi","Root_mimi"
bG9nIHlvdQ,"log you","Log_you"
44KB44Gj77yB,"めっ！","Sukisugite_Metsu!"
44Ki44Kk44OJ44Or44ON44OD44K144Oz44K5,"アイドルネッサンス",""
44OZ44Kk44OT44O844Os44Kk44K6SkFQQU4,"ベイビーレイズJAPAN",""
5ZCJ5bed5Y-L,"吉川友",""
5p2x5Lqs44OR44OV44Kp44O844Oe44Oz44K544OJ44O844Or,"東京パフォーマンスドール",""
44Ki44K544OI44Os44Kk44Or,"アストレイル",""
UEFTU1BP4piG,"PASSPO☆",""
5ZCJ55Sw5Yec6Z-z,"吉田凜音","Yoshida_Rinne"
UmV2LmZyb20gRFZM,"Rev.from DVL","Rev._from_DVL"
TkVLSVJV,"NEKIRU",""
U3VnYXLimaFIb2xpYw,"Sugar♡Holic",""
44OS44Kk44Op44Ku44Oq44Kq,"ヒイラギリオ","Hiiragi_Rio"
54m55pKu44GM44KL44Ga,"特撮がるず",""
56-g5bSO44KK44GV,"篠崎りさ",""
Q2hlZWt5IFBhcmFkZQ,"Cheeky Parade","Cheeky_Parade"
44OV44Kh44O844K544OI44OX44Os44Kk44Oq44K544OI,"ファーストプレイリスト",""
UmVGTGlB,"ReFLiA",""
5q2m6Jek5b2p5pyq,"武藤彩未",""
44Gt44KC44G644KNIGZyb20g44Gn44KT44Gx57WELmluYw,"ねもぺろ from でんぱ組.inc",""
44G_44GO44Gm44KE44GY44KL44GXIOOBsuOBoOOCiuOBpuOBr-ODvOOBqA,"みぎてやじるし ひだりてはーと",""
5LmZ5aWz5paw5YWa,"乙女新党",""
5a-65baL55Sx6IqZ,"寺嶋由芙","Terashima_Yufu"
5oG15q-U5a-_44Oe44K544Kr44OD44OE,"恵比寿マスカッツ",""
5bqD54Cs5oSb6I-c,"広瀬愛菜","Hirose_Aina"
44K344Ol44O844Kv44Oq44O844Og44Ot44Kx44OD44OE,"シュークリームロケッツ",""
44G_44KT44Gq44Gu44GT44Gp44KC44Gh44KD44KT,"みんなのこどもちゃん","Minna_no_Kodomo-chan"
44OQ44OL44Op44OT44O844Oz44K6,"バニラビーンズ",""
SEFMTENB,"HALLCA",""
44Gv44Gh44G_44Gk44Ot44Kx44OD44OI,"はちみつロケット",""
44Ot44OD44Kr44K444Oj44Od44OL44Kr,"ロッカジャポニカ",""
WDIx,"X21",""
U2lhbeKYhkRyZWFt,"Siam☆Dream","Dream"
ZXllcw,"eyes","eyes"
TGEgTHVjZQ,"La Luce","La Luce"
R29vZCBUZWFycw,"Good Tears","Good Tears"
Q2hvdXggQ3JlYW0gUm9ja2V0cw,"Choux Cream Rockets","Choux Cream Rockets"
U29tZWRheSBTb21ld2hlcmU,"Someday Somewhere","Someday Somewhere"
Q2lyY2xlIEx5Y2hlZQ,"Circle Lychee","Circle Lychee"
VG9yaWtvIE5hcnUgUHJlbHVkZQ,"Toriko Naru Prelude","Toriko Naru Prelude"
VU5MQU1F,"UNLAME","UNLAME"
S2FrZWRhc2hpIG5vIEhpa291IFNob3Vqbw,"Kakedashi no Hikou Shoujo","Kakedashi no Hikou Shoujo"
TWluaWNodQ,"Minichu","Minichu"
SEFDSw,"HACK","HACK"
TEFSTU9PTg,"LARMOON","LARMOON"
VG9reW8gWXVtZSBQaXlvZ3VtaQ,"Tokyo Yume Piyogumi","Tokyo Yume Piyogumi"
R1JBQ2lBUw,"GRACiAS","GRACiAS"
TW9tb2lybyBLYWt1bWVp,"Momoiro Kakumei","Momoiro Kakumei"
Qi5MLlQuIElET0wgQ09MTEVHRQ,"B.L.T. IDOL COLLEGE","B.L.T. IDOL COLLEGE"
WWFuY2hhbiBHYWt1ZW4gT25nYWt1YnU,"Yanchan Gakuen Ongakubu","Yanchan Gakuen Ongakubu"
S2F0YW1vbWkgSm9zaGk,"Katamomi Joshi","Katamomi Joshi"
S2lzc0JlZVdFU1Q,"KissBeeWEST","KissBeeWEST"
THVuYSBCeSBTbmFw,"Luna By Snap","Luna By Snap"
SmVsbm8h,"Jelno!","Jelno!"
U3RlbGxh4piGQmVhdHM,"Stella☆Beats","Stella☆Beats"
TG92ZUtlbg,"LoveKen","LoveKen"
UmF5ZHJvaWQ,"Raydroid","Raydroid"
QkFCWSBUTyBLSVNT,"BABY TO KISS","BABY TO KISS"
TWVjaGEgSGlnaA,"Mecha High","Mecha High"
U3RyYXdiZXJyeSBTeW5kcm9tZQ,"Strawberry Syndrome","Strawberry Syndrome"
RE9QSU5HIEJFUlJZ,"DOPING BERRY","DOPING BERRY"
